B: 	zijn het een rond neusje 
B: 	oké 
B: 	ja 
B: 	F 
B: 	ja het zijn F ja 
A: 	hij hebben een een rond aan de voorkant en daar zitten een staaf doorheen 
A: 	en daar zitten op de zijkant weer een rond tegenaan 
A: 	alsof 
A: 	ja 
B: 	het zijn dat mannne of het bak en het neusje 
B: 	met een piercing door het neusje en hij hebben zo'n pluk aan de achterkant 
A: 	ja 
A: 	en dan ding aan de zijkant 
A: 	dat zijn vijf voor mij 
B: 	ja 
B: 	letter A 
A: 	dit zijn degeen met dat appelsprie aan de bovenkant en de doorboorde ja neusding 
B: 	neuspiercing met het pluk 
A: 	yes dat zijn vijf voor mij 
A: 	dit zijn die met dat appelsteel en de doorboorde neus 
B: 	ja 
B: 	moeten even zoeken 
B: 	ja 
B: 	letter H 
A: 	ja dat zijn vijftien voor mij 
B: 	hij hebben een piercing door zijn neus 
