B: 	ja ik mogen beginnen 
B: 	okee 
B: 	eens even kijken horen 
B: 	de ja het zijn allemaal kop toch 
B: 	ja okee mooi 
B: 	deze hebben een een soort één groot balk aan de onderkant waar die op staan 
A: 	ja 
B: 	het lijken alsof die een soort lepeltje hebben 
A: 	vijfteen 
B: 	voor mijn gevoel dan 
B: 	er zitten een één rond handvat aan die je gewoon zo vast kunnen houden 
A: 	dat kunnen jij niet zien dat dat goed zijn ja 
B: 	en een een plat schijf aan de achterkant 
B: 	ja 
B: 	ja zo zullen je hem wel kunnen zien even kijken hoor 
B: 	ja 
B: 	ja ja ja ja ja 
B: 	ja ja ja 
A: 	deze hebben aan de achterkant een rond schijf zo er tegenaan en aan de linkerkant een rond koker en aan de bovenkant nog zo'n zo'n kegel 
A: 	klein ja een kegeltje erbovenop 
A: 	en dan 
A: 	ja aan de achterkant 
A: 	en dan aan de linkerkant een soort rond koker 
A: 	ja 
A: 	ja 
A: 	ja zestien 
B: 	ja dat zijn à 
A: 	dit zijn die met die rond schijf aan de achterkant dat kegelt Rechtsbovenop en 
B: 	ah dit zijn de degeen die ik als één moeten omschrijven met het citroen erin 
A: 	ja 
A: 	ja dertien 
A: 	dit zijn de het citroen aan de achterkant met het kegelt 
B: 	citroen en het lepel eens even kijken horen 
B: 	ja ik 
B: 	daar dat zijn c 
B: 	dit zijn het citroen 
B: 	dat zijn o 
