A: 	ja 
A: 	zitten er iets op de bovenkant 
A: 	ok ja dan zijn het zes 
B: 	oké ik hebben er nou één met volgens mij zijn dat de enig van al plaat waarbij aan de bovenkant hebben je twee stok zeggen maar 
B: 	en dan hebben je aan de 
B: 	ja die 
A: 	deze hebben een vierkant zeggen maar door het kop heen zitten een ja één rond ding boven het vierkant er zitten een armpje wat zo steken 
A: 	ja 
A: 	zijn met dat rond ding zo naar voren 
A: 	ja ok dat zijn dertien 
B: 	ja en dan nog zo'n ja een soort van een rond wat er ook uit steken 
B: 	ja 
B: 	dat zijn bij mij C 
B: 	we hebben nou weer die een met zeggen maar die schijf door het dinge en dan weer met die twee 
B: 	ja die twee 
B: 	staaf erbovenop ja 
B: 	ja 
A: 	dit zijn met dat vierkant die er doorheen door het kop heen gaan met die ja balk die daar eigenlijk op liggen twee dinget aan de bovenkant klein punt zeggen maar en één 
A: 	ja 
A: 	ja dat zijn negen 
B: 	ja 
B: 	bij mij zijn dat J 
A: 	dit zijn met dat vierkant door het kop heen met twee van die pinnet bovenop 
B: 	weer die een met die twee staaf zeggen maar aan de bovenkant 
B: 	ja 
B: 	ja even zoeken 
