A: 	ja 
A: 	ja 
A: 	met zo'n rechthoek bovenop 
A: 	ja zo'n ding 
A: 	bij mij zijn dat veertien 
B: 	oké dit zijn een een kop met een een lepel erin lijken wel 
B: 	en een een rond neus 
B: 	ja 
B: 	ja ja 
A: 	ik hebben die een met dat ei aan de rechterkant 
A: 	ja 
B: 	ja 
B: 	met een driehoekig dinge 
B: 	ja 
B: 	N 
A: 	ja dat zijn bij mij nummer negen 
B: 	dat zijn die een met de rond neus 
B: 	en een driehoekig uitsteeksel aan de rechterkant linkerkant 
B: 	en een lepeltje 
B: 	ja 
A: 	ik hebben die met het ei aan de aan de rechterkant sorry en dat vierkan en die kegel bovenop 
A: 	of penseel 
A: 	ja nummer vijf 
B: 	ja ja 
B: 	die een beetje lijken op die zuignap maar niet zonder zuignap 
B: 	ja 
B: 	G 
B: 	ja die met de zuignap maar dan niet met de zuignap 
B: 	ja 
A: 	ik hebben die een met dat ei aan de rechterkant en de kegel en het staafje bovenop 
B: 	oké en de zuignap zonder zuignap 
B: 	oké dat zijn J 
