B: 	okee ja mijne staan op een soort een ovaal verhoging 
B: 	komen één zeshoekig pijp uit 
B: 	soort van een handvat erin en aan de achterkant zijn een rond achter de mok 
B: 	soort van 
A: 	dus links een arm 
B: 	ja 
B: 	ja 
A: 	even kijken 
A: 	hebben hij nog ook eraan zitten 
A: 	plat rond 
A: 	ah en zijn zijn arm rond maar ook een beetje met hoek 
A: 	en hebben hij onder ook nog iets zitten 
A: 	hij staan op zo'n zo'n ding 
A: 	ja ik denken dat ik het weten 
A: 	dat zijn nummer dertien 
A: 	denken ik 
A: 	moeten ik of 
A: 	volgens mij moeten jij 
A: 	weten niet 
B: 	ik zeggen wel ja 
B: 	ja 
B: 	o 
A: 	en deze hebben ja je kunnen zeggen een neus of arm dat zo uitsteken 
A: 	aan de linkerkant 
A: 	en die hebben een je kunnen zeggen dat het een lepeltje zijn dat er zo in vallen 
A: 	en een rond iets daarachter 
A: 	en hij staan op zo'n 
B: 	deze staat op een ovaal verhoging hebben aan de linkerkant een zeshoekachtig staaf eruit hangen 
B: 	en een half cirkel erachter ja 
A: 	zo 
A: 	ja dat zijn nummer vier 
B: 	ja b 
B: 	deze hebben de cirkel half cirkel erachter en hij staan op die ovaal verhoging 
A: 	deze dit dit staan op zo'n zo'n ding weten je 
A: 	en die hebben hier een lepeltje en hier iets dat uitsteken 
A: 	en een rond daarachter 
A: 	en hij staan 
A: 	dat zijn zestien 
B: 	h 
A: 	dit zijn die een met het lepeltje hier 
A: 	hierzo dat er iets uitsteken het rond achter en daar staan hier nog iets 
