B: 	oké dit zijn een soort van ja kopje met twee handvaet denken ik 
B: 	staan boven op één of een vierkant ding 
B: 	zitten een rood ronde plaat aan de voorkant 
B: 	ja precies ja 
A: 	ja die lijken een beetje op Pippi Langkous vinden ik zelf met die ding aan de zijkant van het hoofd 
A: 	ja 
A: 	dat zijn nummer vijf 
B: 	met die sprieet 
B: 	ja 
B: 	J 
B: 	ja de ding met die spriet aan de zijkant die op een op een vierkant plateau staan 
A: 	deze hebben ik weer die op het platform staan met twee staart aan de zijkant 
A: 	en die staan bij mij helemaal rechts onderin 
B: 	ja 
B: 	P 
A: 	ja dat zijn elf 
B: 	dit zijn weer die op een op een plateau staan met met die spriet aan de zijkant sorry 
A: 	ja die Pippi Langkous 
A: 	dat zijn waar we voor gaan 
B: 	met die spriet 
B: 	L 
A: 	nummer negen 
A: 	ik hebben Pippi Langkous 
