B: 	deze hebben ook weer zo'n soort plaat maar dan veel bovenaan als een soort tafel 
B: 	ja 
A: 	ja dan weten ik het denken ik wel 
A: 	die 
A: 	ja 
A: 	ja 
A: 	dus zeggen maar gewoon een soort van tafel die erdoorheen zitten 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer zestien 
B: 	ja dat zijn bij mij P 
A: 	ik hebben nu weer die tafel die zo erdoorheen gaan zeggen maar 
A: 	met dat piramide op de kop erop 
B: 	deze zijn die tafel weer 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer veertien 
B: 	dat zijn N 
B: 	bij mij ook 
B: 	dit zijn die met die tafel 
A: 	deze zijn met die tafel erdoorheen 
B: 	D 
A: 	oké 
A: 	dat zijn nummer tien 
A: 	dit zijn met die tafel erdoorheen 
