B: 	ja deze lijken echt een beetje op een beker die hebben een 
B: 	driehoek er onder en dan die spiraal zo en daar zitten zeggen maar die kop op vast of die mok 
B: 	ja je hebben bovenin uitzitten er twee blok op nog zo'n uitsteeksel en dat ding dat er onderuit komen en dan 
A: 	ja 
A: 	ja 
A: 	recht op zo'n spiraal staan die of zo ik weten niet 
A: 	of ja zo'n ding hij staan omhoog in ieder geval 
A: 	dat zijn nummer vier bij mij 
B: 	die die kampioen trofee 
B: 	ja ok dat zijn dan A 
A: 	ik hebben nu die een die op die driehoek met die staaf zeggen maar erop staan op die verhoging een soort beker of zo zullen je het kunnen zien soort trofee 
A: 	gewoon ja ik weten niet 
A: 	met die blok ook erop 
B: 	ja dit zijn die die op een trofee lijken 
B: 	ja 
A: 	met die vierkant erop 
A: 	ja 
A: 	nummer tien 
B: 	ja dat zijn dan L 
B: 	ja dit zijn die beker 
B: 	ja 
A: 	ik hebben nu die soort trofee zeggen maar helemaal rechtsboven staan die bij mij 
B: 	de trofee dat zijn dan F 
A: 	dat driehoekig ding 
A: 	de driehoekig ding toch 
A: 	ja 
A: 	dat zijn bij mij nummer vier 
A: 	ik hebben die trofee 
A: 	die staan ongeveer in het midden bij mij 
