A: 	ja elf 
B: 	deze hebben een ei als neus 
B: 	links een arm 
B: 	klein 
B: 	en linksbof een gek figuur een traant met nog een rond eraan 
B: 	en vierkan boven 
B: 	ja rechthoek 
B: 	ja 
A: 	dit zijn een beker met links en boven een driehoekig uitsteeksel en een een ballet voorop 
A: 	het ballet voorop daar hebben we eigenlijk maar één 
A: 	die dan niet de piercing hebben 
A: 	ja ja 
A: 	vier 
B: 	maken niet uit 
B: 	okee wachten even kunnen je die nog een keer doen ? die weten ik even niet 
B: 	ja en in het midden nog een een rechthoek 
B: 	okee dat zijn l 
A: 	ja neus rechts 
A: 	met niks erdoorheen en de twee apart voelspriet 
A: 	veertien 
A: 	neus met twee apart voelspriet 
B: 	deze hebben een ei als neus aan de rechterkant 
B: 	linksbof je noemen het geen kegel je noemen het iets wat op een kegel lijken 
B: 	ja wespenlichaam 
B: 	ja zo'n ding recht omhoog 
B: 	ja 
B: 	ja dat zijn c 
B: 	dit zijn met de wesp en de het ei als neus rechts 
B: 	ja 
B: 	ja 
B: 	ja dat zijn b 
