A: 	ja het ISteken aan de rechterkant 
A: 	waarvan 
B: 	het egaalteken kennen ik niet 
B: 	sorry 
B: 	= ja ja ja okee ja dan weten ik hem denken ik al 
B: 	ja okee dan weten ik hem al dat zijn nummer getal letter p bij mij 
A: 	achten 
A: 	ISteken aan de rechterkant 
A: 	veertien 
B: 	deze hebben twee dezelfde arm aan de rechterkant 
B: 	zijn rechthoekje 
B: 	en een een puntmuts maar de punt zijn er niet zeggen maar die zijn er afgehken 
A: 	het ISteken aan de rechterkant 
B: 	ja ja 
B: 	ja die 
B: 	ja f 
A: 	tien 
B: 	deze zijn met het ISteken en de afgekapte puntmuts 
B: 	ja 
B: 	dat zijn f 
B: 	f sorry hard 
B: 	dit zijn het ISteken en de afgekapte puntmuts 
