B: 	ja hij hebben zeggen maar dat stok doorheen daar zitten een cirkel aan 
B: 	ok dan 
B: 	dan zijn het F 
A: 	nu hebben ik het vierkan 
A: 	ja ik hebben dit omschrijven als een soort neus die doorboord zijn met een paal 
A: 	ja ? hebben je hem 
B: 	o ja ja dit zijn met die neus en daar gaan zo'n balk door die neus en zo'n rond eraan 
B: 	ja 
A: 	ja de de doorboorde neus ja 
A: 	dat zijn vijf 
B: 	ja dat zijn A 
B: 	ja dit zijn die met die neus en dan die balk er doorheen 
A: 	dit zijn de doorboorde neus 
B: 	ja dat zijn h 
A: 	ja 
A: 	even kijken waar die staan 
A: 	ja 
A: 	dat zijn vijf 
B: 	dit zijn met dat de neus en dan stok er doorheen 
A: 	dit zijn de doorboorde neus 
A: 	dat zijn vijftien 
