B: 	ja ik vinden het ik wat het zijn 
B: 	er zitten aan de linkerkant twee van die blok die of steeds groot worden of steeds klein worden afhankelijk van hoe je het zien 
B: 	en een groot vierkant plaat aan de voorkant en een antenne 
A: 	ja een soort verrekijker 
A: 	ja vinden ik wel 
A: 	ja dat zijn nummer twee 
B: 	die klein worden 
B: 	ja precies 
B: 	G 
B: 	dit zijn weer met die antenne bovenop en die vierkant plaat ervoor en dan de vierkant die groot worden 
A: 	ik hebben nu die weer met die verrekijkert vierkant aan de zijkant en een antenne bovenop 
B: 	oké 
B: 	D 
A: 	ja nummer negen 
B: 	dit zijn weer met die die klein worden blok helemaal link 
B: 	twee 
B: 	en dan zo'n vierkant plaat voor en een antenne bovenop 
A: 	ik hebben die met twee verrekijker vierkant aan de zijkant Antenne erbovenop 
B: 	ja 
B: 	B 
A: 	nummer één 
A: 	ik hebben die met verrekijker 
