B: 	een bakje ? of zo ? of 
B: 	kunnen het ik weten niet kunnen het zijn dat het misschien een beetje op een een kruiwagen lijken ? als je als er zeggen maar een wiel aan zullen zitten ? of zo 
B: 	ik weten niet ik denken dat ik het associeren met een kruiwag maar ik misschien denken jij doen jij dat niet 
B: 	nee ik denken dat het wel die zijn 
B: 	lopen er zeggen maar als het zijn zo'n balk omheen en daaraan zitten staaf 
B: 	zeggen maar aan de linkerkant zitten een balk en aan de rechterkant lopen ook weer een balk ervoor en aan die balk zitten twee staaf 
B: 	nee kijkgen als je dat zeggen maar gewoon dat rond ding hebben wat overal zitten dan lopen er zeggen maar zo'n balk aan die kant langs en aan de voorkant en daaraan zitten twee van die staaf 
B: 	nee ? ok nog een keer 
B: 	ja 
B: 	o ja 
B: 	ja 
B: 	ja 
B: 	zitten een beetje een hoed op 
B: 	ok ja en aan de onderkant zitten nog zo'n dinge ok dan zijn het I 
A: 	ja ik vinden deze echt ook een beetje lastig ik hebben er uiteindelijk een F van maken als je zeggen maar soort kijken vanaf het beker dan hebben die twee steeksel 
A: 	die een beetje doen denken aan een F als je de de beker door zullen trekken als op één lijn 
A: 	en dan een soort van hoedje ja als een soort lampenkap 
A: 	en dan nog één ja een soort ja handvat eromheen en een staart 
A: 	ja 
B: 	ok ja dit zijn weer dat ding met twee van die dinget en zo'n beetje zo'n hoedje daar bovenop 
B: 	ja 
B: 	ah ja maar niet die piramide 
B: 	ok dan zijn het M 
A: 	ja 
A: 	ja 
A: 	ik hebben hem 
A: 	twee 
A: 	dit zijn de F 
A: 	met het soort van hoedje met een driehoek 
A: 	ja de F 
B: 	o ja dit zijn met dat zeggen maar hoedje geen piramide met twee van die ding die zo steken 
B: 	ja 
B: 	ja dat zijn F 
B: 	o dit zijn met dat driehoekje niet de piramide maar met die twee dinget 
A: 	ja 
A: 	dat zijn negen 
A: 	dit zijn de F 
A: 	ja dat zijn zes 
