B: 	bak met een schermpje op zijn zij 
B: 	en met twee armp zo voor zich uit en een antenne op zijn kop 
A: 	ah en een antenne zo'n spijker 
A: 	ah 
A: 	ja lijken wel een robot 
A: 	ik 
A: 	ja ik 
A: 	ik gaan voor nummer twaalf 
B: 	ja 
B: 	dat zijn J 
B: 	bak 
B: 	ja een flatscreen tv'tje hebben hij met zich mee , of een vierkant 
B: 	en die zo op hem plken zijn 
B: 	en twee armp aan die kant , en een antenne op zijn hoofd 
A: 	nou hier krijgen we die leuk robot weer 
A: 	die weer aan de linkerkant met die uitstekend oog die blok die groot worden 
A: 	het spijker als Antenne 
A: 	en aan de ik zullen zomaar zeggen de linkerkant voor hem omdat ik denken die oog gaan die kant op maar dat zijn echt heel gek 
A: 	maar dus eigenlijk rechtsvoor aan die kant zijn een één ja een vierkant plaa ertegenaan 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	gaan ik voor nummer vijf 
B: 	zijn I 
B: 	een plaat op zijn zijkant , spijker op zijn kop , of een antenne , en aan de linkerkant twee toren 
A: 	nou dit zijn ons robot weer met vierkan plaa aan de voorkant 
A: 	links twee oog en Antennetje spijker 
A: 	ja 
B: 	met zo'n rond plateautje 
B: 	J 
A: 	ja 
A: 	ja nummer twee 
A: 	ons robot 
