B: 	oké 
B: 	even kijken 
B: 	ja 
B: 	ja met een hoek erin dat uitsteeksel 
B: 	ja en die balk zijn eigenlijk gewoon los 
B: 	ja oké 
B: 	dan zijn het d 
A: 	nu hebben ik 
A: 	ja het enig met zo'n lang balk zeggen maar 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	en dan twee armp 
B: 	oké 
B: 	deze hebben een balk aan de voorkant 
B: 	deze hebben we al hebben de balk aan de voorkant en zo'n bol erbovenop en twee van die arm aan de zijkant 
A: 	wie zijn ? jou beurt 
A: 	ja 
A: 	en dan 
A: 	dat kunnen je twee tubes of zo weten ik veel 
A: 	oké 
A: 	vijftien 
B: 	ja en een bal daarbovenop ja 
B: 	oké dat zijn L 
B: 	dit zijn degeen waar de balk voor staat met twee uitsteeksel en een bol bovenop 
B: 	die een beetje losstaan ja 
B: 	dat zijn J 
A: 	bij mij ook 
A: 	ja dat dat lang balk en dan waar zeggen maar zo'n beker aan hangen lijken het wel 
A: 	en dan zo'n bol erop 
A: 	juist 
A: 	weten je het gaan lekker 
B: 	ik hebben diegene waar de balk voor staat en die bol daarbovenop en die twee uitsteeksel 
A: 	en die twee 
A: 	nummer zes 
A: 	die Empire State Building zeggen maar of wat het zijn 
A: 	en dan zo'n bal erop 
A: 	en die twee arm 
A: 	drie 
