A: 	ja deze hebben een piramide op zijn hoofd of op zijn bovenkant 
A: 	en ook een soort van piramide die zijn afgekpen aan de voorkant 
A: 	bij mij vijftien 
A: 	ja 
A: 	ja en ook die afgehakte zo 
A: 	ja bij mij zijn dat zes 
B: 	ja 
B: 	nee volledig hoed 
B: 	ja 
B: 	met een heel gek dinge in zijn achterkant zeggen maar 
B: 	en een heel groot blok aan de voorkant 
B: 	dan gaan het om J 
A: 	dit zijn die met die driehoekig puntmuts en die afgehakte driehoek 
A: 	zestien 
B: 	dit gaan om de feesthoed met de volledig hoed een gek dinge in zijn kont en een rond op wielet 
A: 	ja dat zijn tien bij mij 
B: 	met het gek ding in zijn kont met wielt en 
B: 	ja dan gaan het om E 
B: 	dit zijn het feesthoed met op de wielt en een gek dinge 
A: 	dit zijn die met de driehoek hoed en de driehoek neus afgekapte driehoek 
A: 	ja dertien bij mij ja 
A: 	ja dat zijn tien bij mij 
B: 	ja met op wielt 
B: 	gaan om G 
B: 	dit zijn het feestmuts op rollet 
