B: 	het soort van staart lijken een beetje pippi Langkous achtig 
B: 	aan de voorkant zitten een rond 
B: 	en aan de achterkant linksachter zitten een soort van heel klein golf 
A: 	vier 
B: 	en het zijn aan beide zijd zijn drie diamantachtig 
B: 	wat op een staart lijken 
B: 	zitten een plateau onder ja 
B: 	ja 
A: 	die zijn dat zijn helikopter vanaf nu 
A: 	hier zijn die kralen aan beide kant van de emmer die eruit komen 
A: 	ja dat platform 
B: 	met een tafel eronder 
B: 	ja 
B: 	O 
A: 	ja achten 
A: 	dit zijn die kra 
B: 	drie diaman die aan de buitenkant eruit komen , staart , rond voorin 
B: 	ja 
A: 	achten 
B: 	ja ik hebben hem 
B: 	C 
A: 	die kra 
B: 	staart drie 
B: 	staart drie dat zijn twee woord 
B: 	ja 
B: 	F 
