B: 	ja ik weten welk je bedoelen 
B: 	J 
A: 	deze vinden ik moeilijk te omschrijven dat zijn dat kop en die hebben dan bovenin wel een piramide met een punt 
A: 	en dan hebben die nog een heel lelijk vervormen blok 
A: 	aan de zijkant 
A: 	en nog één 
A: 	zo'n fles die erin 
A: 	ja 
A: 	die ja 
B: 	dat zijn echt een heel vag 
B: 	soort van soort van driehoek bovenop 
B: 	en een blok dat aan de voorkant eruit steken en een 
B: 	ja 
A: 	ja en dat gek blok 
A: 	nummer zes 
A: 	die met die die spits piramide bovenop 
A: 	en dat raar blok ja 
B: 	even opnieuw zoeken 
B: 	vierkant met de punt omhoog 
B: 	met die ding die ding eruit steken en dan 
B: 	die 
B: 	ja oké met een soort van piramide bovenop 
B: 	E 
A: 	ja ja die goed piramide nummer tien 
B: 	dit zijn weer met met die dat driehoek die eruit steken die punt 
B: 	en één of ander raar blok aan de voorkant en 
B: 	ja 
A: 	die met die piramide en dat raar blok 
B: 	ja met die raar blok 
B: 	G 
A: 	ja 
A: 	ja nummer tien 
B: 	de de punt die eruit steken met zo'n raar blok dat aan de voorkant uit komen 
B: 	en de twee ander dinget 
