B: 	ah deze hebben ik kop met schotel noemen 
B: 	want het zo'n ja een schotel onder het kop eigenlijk 
B: 	ja 
B: 	die 
B: 	vierkant 
B: 	ja 
B: 	ja ja ja 
A: 	ja 
A: 	bij mij zijn het nummer vijf 
A: 	ik hebben weer dat ding wat op één op een vierkant staan met die twee soort van spiraal aan beide kant 
B: 	dat zijn natuurlijk ook zullen we gewoon zo aanwijzen misschien 
B: 	ja met een schotel 
B: 	ja oké 
B: 	J 
A: 	ja 
A: 	dat zijn bij mij nummer elf 
B: 	dit zijn die een met die vier vierkant aan beide kant 
B: 	en schotel 
A: 	ik hebben die op dat vierkant met die twee spiraal 
A: 	aan de beide zijkant 
B: 	ja 
B: 	P 
A: 	ja nummer negen 
B: 	het kop met die vierkant 
B: 	ja 
A: 	ik hebben die een op dat plateau met die twee staafjes met die spiraalt aan de zijkant 
B: 	ja 
B: 	ja 
B: 	L 
