A: 	ja 
A: 	ja die zijn aan de onderkant ook het lang of niet ja 
A: 	okee dat zijn nummer dertien 
B: 	ah 
B: 	nou ja van al ander kop zeggen maar er zijn er niet zo veel die staan op een soort van plateautje 
B: 	en deze die staan op een soort van driehoekplateau met een twist omhoog 
B: 	een soort wokkel inderdaad 
B: 	een blok ja een blok 
B: 	zitten er rechts één en er zitten er één in denken ik 
B: 	en nog een ander uitsteeksel 
B: 	ik denken dat je hem wel weten 
A: 	dit zijn weer degeen die aan de onderkant van het beker het lang zijn 
A: 	die ook een soort kubus rechtsboven hebben staan 
A: 	en ook een soort steel Linksboven 
A: 	ja 
B: 	ja 
B: 	een wokkel omhoog ja 
B: 	ik ja ik gaan voor d 
A: 	ja 
A: 	dat zijn nummer twaalf 
A: 	dit zijn weer dat lang ding van onderaan waar zo'n driehoek onderaan zitten 
A: 	vierkant rechtsboven 
A: 	ja 
A: 	ja 
A: 	zeven 
A: 	dit zijn weer de dobbelsteen rechtsboven 
A: 	en onderaan de vierkant 
A: 	driehoekig sorry 
B: 	nou dit zijn diegene die op een twisterpoo staan 
B: 	een driehoekig 
B: 	ja 
B: 	yes 
B: 	dat zijn o 
B: 	het zijn grappig hoe dit werken vinden ik wel 
B: 	twisterkop met driehoek beneden 
B: 	ja 
B: 	dat zijn k 
