A: 	ja oké 
A: 	nummer vijf 
B: 	oké deze noemen ik stoom uit de oor 
B: 	omdat die drie van die aan beide kant drie van die bollet uit de oor hebben uit de 
B: 	ja van die spiraalt ja 
B: 	ja 
B: 	en die hebben ja van die armp in het water of zo 
B: 	ja 
B: 	oké dat zijn bij mij A 
B: 	even kijken 
B: 	die ja 
B: 	J 
B: 	en bij jou 
B: 	J tien 
A: 	ja 
A: 	dit zijn zeggen maar dat bakkie wat dan op dat vierkant plaa staan met die met die paardenstaart zo 
B: 	dit zijn met die drie dinge zo uit de uit de uit de zijkant 
B: 	D 
A: 	ja 
A: 	nummer elf 
B: 	ja 
B: 	wachten dit de de drie drie 
B: 	ja 
B: 	P zestien 
A: 	de Pippi Langkous ding 
A: 	op het plaat 
B: 	dit zijn die met die die drie ding zo uit uit de oor met die plat neus K 
A: 	yes 
A: 	nummer negen 
B: 	drie van die ding 
B: 	L 
B: 	L elf 
A: 	de Pippi Langkous 
A: 	op het plaat 
