B: 	oké ik hebben een vierkant 
B: 	ik vinden het lijken op een wc-borstel 
A: 	ja 
A: 	nee 
B: 	of een wc-pot met een borstel erin ik weten het niet 
B: 	en aan de linkerkant een uitstulping 
A: 	ja 
B: 	een staaf 
B: 	aan de rechterkant zitten niks 
A: 	ja ook de uitsteeksel vooral en of dat ergens op lijken zodat je het een beetje een naam kunnen geven 
B: 	en hij staan wel op een soort voet 
B: 	ja 
A: 	niet echt denken ik 
B: 	oké 
A: 	ja nou wel een beetje met uitsteeksel dat ik denken oog maar ja 
A: 	ja precies ja 
A: 	ja 
A: 	ah ja 
A: 	en soort van 
A: 	aan de achterkant 
A: 	ja beetje aan de linkerkant achter 
A: 	ja 
A: 	okee 
A: 	nou dan mogen ik op een knopje drukken en het antwoord noemen toch 
A: 	okee 
A: 	ik gaan voor twee 
B: 	ja 
B: 	ja en een rond 
B: 	de ander 
B: 	ja ja dat zijn hem ja 
B: 	I 
A: 	okeeen ik vinden het een beetje op een toiletpot lijken 
A: 	ja want die die hebben een hendel aan de zijkant zullen je kunnen doortrekken dat zijn aan de linkerkant 
A: 	nou dan een wc-borstel erin beetje rechtsbof 
A: 	achter zien je een rond dat zijn dan het kle 
A: 	en dan onderaan staan hij op een soort van standaard zeggen maar 
A: 	een beetje een één ja 
A: 	even zoeken 
A: 	ja 
A: 	die ja 
A: 	okee nou de onderkant zijn dus zeggen maar een standaard 
A: 	dat eronder zitten 
A: 	het zijn een beetje een soort van USB-C vorm zeggen maar 
A: 	en dan aan de linkerkant ook een cilindervorm dat weer uitsteken uit het kop 
A: 	en aan de achterkant zitten een soort van Ronde schijf die je maar voor de helft zien 
A: 	en dan ja rechtsboven in het plaat een beetje die 
A: 	ja 
B: 	next 
B: 	de wc-kop 
B: 	borstel 
B: 	op het plateau 
B: 	die even breed zijn als het kop zelf 
B: 	ja ik zien het als een wc-borstel , zitten een borstel in 
B: 	zoals ik het zien , met een uh , met een voet 
B: 	die even breed zijn als de bak de kop zelf 
A: 	ah die 
A: 	ik weten hem al 
A: 	ja okee 
A: 	ik gaan voor nummer drie 
B: 	yes 
B: 	A 
B: 	wc-bak met één of een wc-borstel en een gelijk plateau die even breed zijn als het kop 
B: 	aan de linkerkant 
A: 	nou dit zijn dat toilet weer 
A: 	op de USB-C vorm staan die 
A: 	nou schijf aan de achterkant 
A: 	links een cilindervormig uitsteeksel en de zeppelinachtig toiletborstel die utisteken 
B: 	D 
A: 	zo nou wel in mijn hoofd 
A: 	waar staan die nou 
A: 	ah ja vinden 
A: 	nummer vier 
A: 	toiletpot klep aan de achterkant rond en USB-C vorm 
