A: 	deze hebben een driehoek op zijn hoofd 
A: 	ja zo'n 
A: 	ja 
A: 	aan zijn voet of zo 
A: 	ja 
B: 	lijken een soort van op een zeedier of zo 
B: 	een beetje een raar vis die zijn neus hebben gestoten zeggen maar 
B: 	ja 
B: 	dat zijn J 
A: 	ja 
A: 	ja 
A: 	dat zijn zes 
B: 	dit zijn die dat zee dier 
B: 	met een groot misvormde Neusachtig iets met die groot 
B: 	ja 
B: 	ja 
B: 	dat zijn E 
A: 	ik hebben diegene met de driehoek op zijn hoofd 
A: 	ja ja 
B: 	dit zijn die die vis die zijn neus hebben gestoten 
A: 	ja 
A: 	ja oké 
A: 	ja 
A: 	zijn nummer tien 
B: 	dat zijn G 
B: 	dit zijn die vis die zijn hoofd hebben gestoten 
A: 	oké ik hebben degeen met de driehoek op zijn hoofd die zitten bij mij links Bovenin 
A: 	ja 
A: 	ja 
A: 	oké dat zijn nummer tien 
