B: 	ik hebben in principe de de mok maar dan lijken het alsof er een plank aan vast bevestigen zijn 
B: 	waar twee rechthoekig uitsteeksel onder alsof dat de voet van de plank zijn waarbij er een soortement trapeziumachtig iets bak erop 
B: 	lijken te liggen en aan de achterkant van de mok zijn er een soort omhoog uitstekend geval 
A: 	een plank waar een vierkant bak op staat 
A: 	even even even overnieuwen 
A: 	ja 
A: 	wachten en oké dus en hij hebben ook nog twee van die balk naar beneden 
A: 	en dan een soort van ja een kuipje en dan nog een klein oor aan de linkerkant 
A: 	dan zijn dat nummer zestien 
A: 	ja dit zijn dat kop met dat balk met twee balk die daaraan hangen en dat 
A: 	mand dat op het balk staan en dat klein oor linksbof 
A: 	ja 
B: 	ja dat zijn bij mij P 
A: 	staar daar links 
A: 	ik zijn hem even aan het zoeken ik weten welk je bedoelen maar 
A: 	waar staan die nou 
A: 	ja ja 
A: 	dit zijn kop 
A: 	balk met twee van die ding 
A: 	dinge en dat oort link 
A: 	dat zijn nummer veertien 
B: 	ik hebben de basisvorm met daarbij een soort plank 
B: 	schuin daaronder twee balk en dan nog een soort bakje erop 
B: 	en een uitsteekselt linksbof 
A: 	het kop met de balk met de twee klein balkjes erop en het mand die op het balk staan en het klein oor aan de linkerkant 
A: 	ja 
B: 	even zien er zitten bovenop een als in van van 
B: 	ja 
B: 	ja ah ja en dan links zitten er een soort uitstekend 
B: 	ja dat zijn bij mij N 
A: 	ja en het en het nummer tien 
B: 	ik hebben degeen met een balk voor de basisvorm met daarop een soort bakje linksboven een uitsteeksel en op de zeggen maar het balk 
B: 	wat voor zijn bijstaan er onder twee 
A: 	het balk met de steunbalk en het kuipje en het klein oor aan de linkerkant 
B: 	ja 
B: 	yes nummer of letter D 
