A: 	okee 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	ja een bak ja 
A: 	ja dat zijn nummer zes 
B: 	oké ik soort stellage om hem heen bouwen , om het bak , dus nou deze deze leunt werkelijk of hij worden echt in plaats houden door de stellage , zo zien ik het 
B: 	en ja erbovenop zitten een soort vierkantje wat niet geen vierkant zijn 
B: 	het doen veel aan een houtversnipperaar denken 
B: 	waar je zo iets in moeten douwen 
B: 	ja hij hangen echt inderdaad 
B: 	goed zeggen 
A: 	dit zijn dit zijn met dat plateau dat er doorheen zitten met die twee poo en een soort van trapeziumvorm 
B: 	ja ja die zijn echt onhandig 
B: 	zijn O 
A: 	ja dertien 
A: 	deze zijn met de met het soort tafel met de poot en de trapeziumvorm erop 
A: 	twee 
B: 	bak met een bank om hem heen bouwen 
B: 	en de houtversnipperaar 
A: 	dit zijn met dat tafel met dat trapezium 
B: 	H 
B: 	nou volgen weer 
B: 	ja bak met houtversnipperaar en stellage 
B: 	om hem heen bouwen 
B: 	ja de K 
