A: 	ja met zo'n ja met poo 
A: 	ja 
A: 	zestien 
B: 	nou dit zijn dan weer gewoon zo'n soort emmercupding en het lijken alsof daarvoor een schap zijn ophangen waar de poo nog onder staan en daarop staan een bak 
A: 	deze hebben dat tafel weer 
A: 	die met die poot eronder 
A: 	ja 
B: 	met een een bakje erop 
B: 	dat zijn P 
A: 	ja 
A: 	veertien 
B: 	dit zijn het emmer met het schap ervoor 
A: 	het tafel weer 
A: 	met die poo 
A: 	alweer 
A: 	tien 
B: 	ja dat zijn N 
A: 	het tafel weer 
B: 	dit zijn het schap 
B: 	aan de voorkant een schap met een bakje erop 
B: 	het schap 
B: 	dat zijn D 
