A: 	nou 
A: 	ja jij hebben een rood vierkant als het goed zijn 
B: 	ok dit zijn zeggen maar dat 
B: 	ja blauw dingetje met ja mij doen het een beetje denken aan pinoccio zeggen maar zo'n neus recht naar voren en één zo'n pluimp zeggen maar op het hoofd 
A: 	oké 
A: 	ja 
A: 	ja 
A: 	een beetje aan de achterkant eens even kijken 
B: 	ja ja ja 
A: 	een langwerpig neus aan de voorkant 
B: 	ok ja bij mij zijn het G ik weten niet of ik dat nog moeten zeggen maar ja 
A: 	en dan een 
A: 	echt zo zeggen maar 
B: 	ja volgens mij wel ja 
A: 	ja precies 
A: 	en één uitsteekseltje beetje rechtsbof en één uitsteeksel link 
A: 	beetje zeshoekig 
A: 	precies precies ja 
A: 	oké dan denken ik dat ik hem hebben vinden 
A: 	nummer dertien bij mij 
A: 	en dan op welk 
A: 	ja 
A: 	ik hebben een ja ook zo'n soort kwas bovenop 
A: 	en dan zo'n rond schijf helemaal achter er soort van tegenaan geplakt 
A: 	en dan een soort achthoekig staafje erin prikken aan de zijkant 
A: 	ja precies 
B: 	ja 
B: 	o die o die mij dan doen denken aan die pinoccio een beetje 
B: 	ja ja ja ja dat zijn bij mij O 
B: 	ok 
A: 	ja 
A: 	even kijken een rond plat dinge aan de 
A: 	welk zijn dat 
A: 	ja die zo nog daarbovenuit daar ja 
A: 	en dan inderdaad dat een beetje achthoekig 
A: 	ja precies oké ja 
A: 	dat zijn nummer acht 
B: 	nee 
B: 	dit zijn bij jou lijken het een beetje op een cocktail met citroen en bij mij zijn het beetje pinoccio 
B: 	ja 
B: 	ok bij mij N 
A: 	oké dit zijn weer dat schotel achterop met dat soort freubel veertjeachtig iets bovenop 
A: 	en dan het achthoekig 
A: 	ja 
A: 	ja ja en het achthoekig 
A: 	ja precies nummer zeven 
B: 	o die C 
A: 	deze zijn weer met dat plateaut erachter dat halfronde plateautje erachter en dan één zo'n kwas erbovenop 
A: 	en het achthoekig dinge 
A: 	top 
A: 	nou dat zijn het 
A: 	wij zijn klaar met dit deel 
A: 	top 
A: 	ja toch 
A: 	okidoki 
A: 	nee dat beginnen een beetje 
B: 	dit zijn de cocktail en pinoccio 
B: 	ok bij mij N 
B: 	even kijken waar die zijn o hier C 
B: 	o bedanken voor de deelname nu komen het volgen keer 
