B: 	ja 
B: 	ja dan zijn het L 
B: 	deze hebben wat jij op een spijker vinden lijken met op dat gek vormig uit en dat plateau aan de zijkant 
A: 	ik hebben dit beschrijven als als Pacmanor zeggen maar 
A: 	zien je die Pacmanvorm 
A: 	die geel pop en dan hebben die zo'n oor die erop lijken 
A: 	wanneer die gaan eten 
A: 	met zo'n pion eraan 
A: 	juist 
A: 	dan hebben we hetzelfde 
B: 	oké 
B: 	dat zijn C 
A: 	ja oké 
A: 	zeven 
B: 	ik hebben diegene met die spijker en dat gek vormp waar die op staat en een plateau 
A: 	ja die Pacman en die helikopterplateau 
B: 	oké 
B: 	ja 
B: 	dat zijn A 
B: 	ik hebben diegene met die spijker en dat gek vormpje en het plateau 
A: 	nummer één 
A: 	die Pacman en die helikopterplattegrond 
A: 	of platform 
A: 	waar zijn die heen 
A: 	dertien 
