A: 	zijn twee driehoek of nee geen geen driehoek zijn twee ruit tegen elkaar 
A: 	en daar komen zeggen maar een beetje soort van of er zitten een bliksemschicht lijken het wel doorheen of een beetje een golfachtig iets 
A: 	en die hebben ook nog voor hebben die twee armp zo 
A: 	en onder nog een ja hoe noemen je dat ? ik weten niet hoe dat precies heten beneden 
A: 	zo ik zeggen 
B: 	even kijken 
B: 	zijn dat met zitten er ook zo'n vierkant plaat aan de zijkant of niet 
A: 	ja boven staan zeggen maar eigenlijk als je heel goed kijken dan zijn het twee driehoek of twee ruit tegen elkaar 
B: 	die vinden ik een beetje op een satelliet lijken 
A: 	en dan gaan er zo'n bliksemschicht of iets gaan er dwars doorheen zeggen maar 
A: 	nee beneden hebben die nee sorry 
B: 	die 
B: 	ja ja 
B: 	zitten bovenin een ruit met aan allebei de kant een dinge ? ja 
B: 	en en bovenin zeggen maar veel in zo'n zo'n Jvorm zo'n sik of niet 
A: 	dat zijn dat en dan beneden hebben die zeggen maar lijken het een beetje op twee armp lijken het 
A: 	en dan helemaal beneden gaan die iets lijken het net soort van Staartachtig iets 
B: 	ja 
B: 	ja ja ja 
B: 	ja 
A: 	oké toch oké 
B: 	oké 
B: 	M 
A: 	ik weten welk je bedoelen even kijken ja en dan die twee armp en beent zo van ja 
A: 	negen 
B: 	nu hebben ik weer die die met die blauw of met die met die sik onderaan 
B: 	ja 
B: 	ja 
A: 	glijbaan 
B: 	ja 
B: 	H 
A: 	die met die glijbaan zijn dat ? met die twee ruit hierboven 
A: 	ja klpen ja 
A: 	en dat omschrijven we een beetje volgens mij ook als glijbaan ja kloppen 
A: 	bik bliksemschicht erdoorheen en twee armp 
A: 	ja 
A: 	elf 
B: 	die met die satelliet boven en die sik daaronder 
B: 	ja 
A: 	dit zijn die driehoekjes boven of die glijbaan hoe je het ook willen omschrijven 
B: 	D 
A: 	driehoekjes boven met die bliksemschicht 
B: 	het zijn die satelliet en die sik 
A: 	die ruit met ja 
A: 	veertien 
