B: 	nog een keer 
B: 	ja 
B: 	ik denken dat ik hem hebben hebben die zeggen maar een heel lang neus 
B: 	zeggen maar dus dat staafje komen komen eruit 
B: 	en daarachter zijn dus ja ik zien het als een boek dat een beetje gepiercet worden door van door iets 
B: 	ja oké 
B: 	letter M 
A: 	deze hebben twee ruit bovenop waar een 
A: 	vierkant staaf doorheen gaan 
A: 	en aan de onderkant hebben die een soort ja zwanenhalsgen 
A: 	ja 
B: 	hij hebben van dat wat ik één op een boek plaatsvinden lijken dat doorpiercet worden 
B: 	aan de achterkant 
B: 	en onder hebben die nog een soort van handvat waar je hem kunnen vastpakken 
B: 	hij hebben een neusje dat heel erg spits zijn 
B: 	en hij hebben nog een arm 
A: 	ja 
A: 	ik hebben hem 
A: 	dat zijn negen voor mij 
B: 	ah 
B: 	ja ja 
B: 	ja 
B: 	letter letter H 
A: 	dit zijn die met de ruit erbovenop die doorboren worden door de groot worden vierkante 
B: 	hij worden het boekachtig worden gepiercet 
B: 	en hij hebben een handvat aan de onderkant en een spits neusje 
B: 	ho 
B: 	spits neusje 
B: 	ja 
A: 	yes 
A: 	dat zijn elf voor mij 
A: 	dit zijn die met de ruit erbovenop die doorboren worden door die groot worden vierkante 
B: 	yes 
B: 	letter D 
A: 	even ja dat zijn veertien voor mij 
B: 	het boek worden doorpiercet van achteren 
B: 	en hij hebben een handvat aan de onderkant aan de rechterkant en er zijn een neus 
