B: 	oké 
B: 	we mogen praten 
B: 	oké 
B: 	ik hebben een rood vierkan dus ik zullen maar gelijk beginnen 
B: 	ja ik vinden ze dus een beetje op beker of op hoofd lijken 
B: 	ik weten niet hoe jij het zien dit hebben een een soort van lepel of uitsteekselt 
B: 	en een plat rond verticaal aan de aan de achterkant een beetje 
B: 	en het hebben een soort van neus 
B: 	of een langwerpig uitsteeksel 
B: 	ja 
B: 	ja 
B: 	een plat rond aan de achterkant 
B: 	die ertegenaan zitten ja 
B: 	yes 
B: 	yes ja 
B: 	en daaronder nog een soort van ovaalachtig iets waar die op leunlen 
B: 	ja 
B: 	oké 
B: 	oké dat kunnen 
B: 	dan moeten jij op geel drukken denken ik toch 
B: 	en dan uitgaan we naar de volgen taak 
A: 	even kijken 
A: 	hij hebben een 
A: 	hebben die aan de achterkant een soort plat rond zitten 
A: 	en aan de voorkant zo'n soort kegeltje omhoog 
A: 	of niet 
A: 	hebben die aan de bovenkant een soort kegel zitten 
A: 	best wel groot 
A: 	en aan de zeggen maar aan de rechterkant zo'n soort blok 
A: 	soort wolkenkrabber lijken het een beetje op 
A: 	nee niet 
A: 	ja ik zien hem 
A: 	ja ja ja dan zien ik hem 
A: 	ja oké 
A: 	dan dan zijn het nummer dertien 
B: 	ja 
B: 	en hij leunt op zo'n ovaalachtig 
B: 	ja dat zijn O bij mij 
A: 	dit zijn die een die jij mij als één hebben op dat voe met die cilinder naar links en dat staart voorop 
A: 	en die cirkel achterop 
A: 	ja 
B: 	oké het zijn hij hebben een soort van lepeltje 
B: 	een uitsteeksel en een rond plat dinge aan de aan de achterkant 
B: 	en hij hebben ja één rond plat dinge aan de achterkant en hij leunt weer op dat ovaal dinge 
B: 	en hij hebben een uitsteeksel ik weten niet of het rond zijn of iets van achthoekig 
B: 	soort van neus 
B: 	zo'n rond plaat aan de achterkant hebben die en een soort van kwastje 
B: 	ja 
B: 	ja die er zo uit steken ja 
B: 	yes 
B: 	oké 
A: 	nieuw 
A: 	ja ja 
A: 	dat zijn nummer acht 
B: 	even kijken ik weten niet ja ja 
B: 	yes dat zijn C bij mij 
A: 	op het voe met de cilinder aan de linkerkant met de plat cirkel en de kegeltje rechtsboven 
A: 	die jij als allereer hebben 
B: 	weer dat rond dat achter zitten 
B: 	en dan dat soort van kwastje 
B: 	of dat lepeltje en die achthoekig uitsteeksel 
B: 	ja 
A: 	ja 
A: 	dat zijn nummer zeven 
B: 	nice 
B: 	ja 
B: 	ja C bij mij 
A: 	de een die jij als één hebben 
A: 	dus op dat voe 
B: 	oeh 
B: 	wat goed 
B: 	gaan wel lekker 
B: 	hè ? ja vinden ik wel 
B: 	alright 
A: 	spannen 
A: 	ja 
A: 	Hallo 
