A: 	zo'n soort v- zo 
A: 	ja ja ik denken dat ik het 
A: 	en zitten er twee ding bovenop 
A: 	ja okee twaalf 
B: 	okeeen deze hebben weer een een eivorm aan de aan de voorkant 
B: 	echt er helemaal voor 
B: 	er zitten een een soort staaf die gaan in het kop en daarnaast nog iets wat in het kop gaan hebben een beetje een één ja ik zullen het niet echt een zandloperfiguur noemen maar eerst een soort ruitje en dan gaan hij worden hij klein en nog weer een klein uitstulpsel 
B: 	en er zitten een soort driehoekig handvat aan 
B: 	ja dat zijn wel een goed 
B: 	ja 
A: 	dit hebben die ronde ovaal aan de aan de rechterkant dat bolle en dan aan de linkerkant dat ja dat gevouwen dinge 
A: 	ja ja ja 
A: 	ja 
A: 	elf 
B: 	ja okee dat zijn f 
A: 	dit zijn het gezicht 
A: 	met die twee ding bovenop 
A: 	ja 
A: 	zoeken 
A: 	zestien 
B: 	deze hebben het ei aan de voorkant en het pipet 
A: 	dit zijn het gezicht 
B: 	ja eens even zoeken dat zijn d 
B: 	dit zijn het ei en het pipet 
B: 	ja dat zijn j 
