A: 	ja 
A: 	en zitten zitten er ook een plateau onder 
A: 	ja 
A: 	oké 
A: 	een 
B: 	aan de onderkant onder het kop liggen een plat vierkant 
B: 	volgens mij zijn dat er ook maar één 
B: 	ja een soort van van die ja bolletjeachtig totaal zes van die bollet 
B: 	ja plat cirkel ja ja 
A: 	dit zijn die pippi langkousachtig staart aan de zijkant 
A: 	ja 
B: 	en voorop een een plat cirkel 
B: 	ja dat zijn p 
A: 	ja 
A: 	ja ik hebben hem 
A: 	vier 
B: 	deze hebben een plat vierkant onderop daar staan het op en van die bloep aan de zijkant 
A: 	die met die drie hoe heten dat , pippi Langkous ding aan de zijkant 
B: 	ja dat zijn k 
B: 	de plat vierkant onderop en de staafbollen links en rechts 
A: 	ja 
A: 	drie 
B: 	ja de plat vierkant ding toch 
B: 	ja dat zijn l 
A: 	pippi Langkous 
