B: 	ja eigenlijk deze hebben zeggen maar twee van die uitsteeksel eigenlijk een beetje Pippi Langkousvlechten 
B: 	en dan een ronde ja plaat daarvoor 
B: 	en zeggen maar het staan ook op een plaat 
B: 	en aan de achterkant staan zeggen maar nog twee bog 
B: 	ja ja ja 
A: 	ja 
A: 	ja zijn nummer vijf 
B: 	ah ja 
B: 	J 
A: 	dit zijn die jij Pippi Langkous noemen 
A: 	met die zes ruit 
B: 	dit zijn die Pippi Langkous 
A: 	ja zijn nummer elf 
B: 	ja 
B: 	ja 
B: 	P 
A: 	Pippi Langkous 
B: 	Pippi Langkous 
A: 	ja 
A: 	ja nummer negen 
B: 	L 
A: 	Pippi Langkous 
