A: 	dit zijn degeen het kop met een een bolle erboven 
A: 	twee dun dinge aan de zijde en nog een pilaar ervoor 
B: 	ja 
B: 	dat zijn D 
A: 	die pilaar 
A: 	ja 
A: 	vijftien 
B: 	deze hebben een bolle aan de bovenkant liggen 
B: 	en dan zo'n vierkant staaf aan de voorkant 
B: 	en dan die hebben we al hebben trouwens en aan de linkerkant zo'n rond buis aan de rechterkant ook maar dan afgekapt 
B: 	Buis 
B: 	ja 
B: 	staaf 
B: 	ja 
A: 	dit zijn met een balle boven die twee dun sprie aan de zijkant en de pilaar 
A: 	ja ja 
A: 	zes 
A: 	dit zijn met het bollet hoog pilaar voor en die twee dun armpjes aan de zijkant 
A: 	aan al twee al al twee de kant één 
A: 	yes yes dat zijn drie 
B: 	ja 
B: 	dat zijn L 
B: 	dit zijn die met het bollet bovenop 
B: 	en dan vierkant staaf ervoor en dan die staaf links en rechts horizontaal 
B: 	ja 
B: 	ja 
B: 	dat zijn J 
B: 	dit zijn die met bolle aan de bovenkant en dan vierkant staaf aan de voorkant en die twee dun dinge aan de zijkant 
B: 	ja 
