A: 	en dan oké dus ook een bekervorm 
A: 	er zitten een druppelvormig uitsteeksel aan 
A: 	en dan hebben je aan beide kant hebben je ook uitsteeksel 
B: 	ja 
B: 	ja dan weten ik welk je bedoelen 
B: 	ja dat zijn E 
A: 	en aan de voorkant zitten dezelfde druppelvormig uitsteeksel 
A: 	ja vier uitsteeksel 
A: 	en de rechteruitsteeksel zijn een vierkant 
A: 	die steeds klein worden 
A: 	ja 
B: 	oké 
B: 	deze noemen jij negen uur geloven ik zeggen je 
B: 	met vier uitsteeksel 
B: 	ja 
B: 	oké 
A: 	ja 
A: 	achterkant uit als een rioolbuis 
A: 	ja 
A: 	die 
A: 	I see even kijken horen 
A: 	ah 
A: 	oké 
A: 	de buis met de bocht en de twee kegelt de één aan de bovenkant één aan de zijkant toch 
A: 	ja 
A: 	dat zijn elf 
B: 	maar ook het zijn met van die kubus toch 
B: 	ja oké 
B: 	dan zijn het J 
B: 	dit zijn negen uur 
A: 	zitten zo'n slurf aan de linkerkant die zo'n boch maken cilinder die een boch maken 
A: 	die twee pionnet er één ik weten niet hoe hoe je die vorm noemen een ovaal erop en één er aan de voorkant zitten er een ovaal die gaan recht vooruit 
A: 	er zitten een vierkant die steeds klein worden aan de rechterkant 
A: 	ja vier uitsteeksel 
A: 	precies ja leiding met een knik 
A: 	in die klein pijp even kijken horen waar zijn die ? searching sound 
A: 	ja ik zien hem 
A: 	dat zijn negen 
B: 	ja dat zijn B 
B: 	dit zijn weer negen uur 
A: 	vier uitsteeksel 
A: 	en er zitten een een buisje met een knikje erin aan de achterkant 
A: 	ja 
A: 	ja oké 
A: 	dat zijn vier 
