B: 	oké bij mij ik vinden hem een beetje op een machinegeweer zeggen maar 
B: 	je moeten een AK47 in je hoofd nemen en dan ja je je zien echt zo'n handvat en een 
B: 	en een magazijn maar misschien hebben ik te veel Battlefield spelen dat kunnen ook 
B: 	oké 
B: 	ja zeggen maar al al voorwerp zitten aan de bovenste kant van het heel dinge 
A: 	en nog zo'n klein friemel erachter 
A: 	ja ik zien het 
B: 	en helemaal bovenaan linksbof in de hoek van dat dinget zien je heel klein zo omhooggaan 
A: 	zestien 
B: 	ja maar dan in dan zien je maar twee poet 
B: 	ja 
B: 	ja 
A: 	dit zijn ik omschrijven hem zelf een beetje als een een bloempot 
A: 	dat die die op een schap zitten en dan zeggen maar zo'n bloempot die er half zo eruit 
A: 	dus zeggen maar het lijken een beetje op een schap waar een bloempot in vangt 
A: 	of in vallen 
A: 	even kijken wat je ander nou die bloempot hebben dus zeggen maar een schap 
A: 	en hij steken nog zelf opsteken die een klein beetje uit 
A: 	en daar zitten een klein friebel en daarachter zitten nog een blok achter 
A: 	en die schap zelf gaan dwars door die pot heen en die steken ook nog een beetje twee zo naar beneden uit 
A: 	dus ik kunnen het een beetje als een soort van als een ja eigenlijk zo'n ja het zijn moeilijk te omschrijven anders 
A: 	nee ik weten welk je bedoelen 
A: 	nou het plank zijn gaan er dwars doorheen 
A: 	en zijn een klein stuk boven houden je dan nog over en daar zitten dan twee van die 
B: 	P 
A: 	ja kloppen 
A: 	even kijken waar zijn die 
A: 	ja met die schap en die plantenbak een beetje eronder 
A: 	ja veertien 
B: 	ik hebben die weer met die met die AK 
A: 	de plantenbak 
B: 	ja 
B: 	N 
A: 	plantenbak ja 
A: 	tien 
B: 	die AK 
B: 	de AK47 
B: 	ja 
B: 	D 
A: 	de bloempot 
