A: 	okee nou zien ik inderdaad een vierkant 
A: 	ik hebben dus die hoofdbak weer gewoon 
A: 	die je op elk plaat zien 
A: 	dan hebben ik een soort rond neus op de voorkant en daar ja dat noemen ik maar even een piercing zitten een staaf doorheen 
A: 	en aan de rechterkant van die staaf zitten een cirkel 
B: 	en hoe het vastgemaakt zijn aan de muur zijn dat zo'n soort van plat cirkel 
A: 	nee ik hebben geen plateau 
A: 	ik hebben dus gewoon de de bak 
B: 	ja 
A: 	met een rond neus een rond een soort ei eigenlijk 
B: 	okee 
A: 	aan de voorkant van die bak 
B: 	ja 
A: 	en door dat ei zitten een staaf gewoon een ja een een staaf erdoorheen 
B: 	ja hij zitten rechts aan de muur 
B: 	okee dan zijn het e 
A: 	en dan aan de rechterkant van die staaf zitten een cirkeltje opplken 
A: 	ja 
A: 	ja 
A: 	nummer drie 
A: 	ook bij deze hoofdvorm zitten een ei voorop die hebben een staaf door het ei heen 
A: 	aan de rechterkant worden de staaf afsluiten met een soort cirkel 
A: 	ja 
A: 	nummer zestien 
B: 	deze zitten tegen de muur aan met een lepeltje erin 
B: 	en een ja een ei en daar doorheen zitten zo'n staafje en daarmee zitten het tegen de muur aan met een rond ding aan de rechterkant 
B: 	ja 
B: 	ja 
A: 	dit zijn de hoofdvorm met een ei en daar een een ei voorop en daar een vierkant staaf doorheen met aan de uiteinde zo'n rond dinge 
B: 	ja 
B: 	dat zijn b 
A: 	ja 
A: 	nummer tien 
B: 	ja met het lepeltje erin en de zuignap 
B: 	en het ei 
B: 	ja 
B: 	dat zijn 
B: 	ja 
B: 	dat zijn h 
B: 	even kijken lepel erin en de zuignap 
