B: 	okee ja mijne staan op een soort een ovaal verhoging 
B: 	komen één zeshoekig pijp uit 
B: 	soort van een handvat erin en aan de achterkant zijn een rond achter de mok 
B: 	soort van 
B: 	ja 
B: 	ja 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	ja volgens mij weten ik welk het zijn vijf 
B: 	ik zeggen wel ja 
B: 	ja 
B: 	o 
B: 	deze staat op een ovaal verhoging hebben aan de linkerkant een zeshoekachtig staaf eruit hangen 
B: 	en een half cirkel erachter ja 
A: 	eens even zien 
A: 	dit zijn dat kopvormp met aan de achterkant dan die cirkel die er net bovenuit steken 
A: 	en dan de druppelvorm aan de bovenkant van het kop 
A: 	aan de aan de linkerkant zitten een 
A: 	ja daar zitten een balkje 
A: 	en onderaan lopen het kop door 
B: 	ja b 
B: 	deze hebben de cirkel half cirkel erachter en hij staan op die ovaal verhoging 
A: 	ja 
A: 	ja en aan de onderkant zijn hij 
A: 	ja ja één 
B: 	h 
A: 	dit zijn die met de het schotelt erachter 
A: 	die dus eigenlijk half er overheen komen 
A: 	en de druppelvorm rechtsboven 
A: 	ja 
A: 	ja 
A: 	ja de druppelvorm vier 
A: 	dit zijn die met die cirkel erachter die er half bovenuit komen 
A: 	en de druppelvorm rechtsboven 
