B: 	ja 
B: 	zitten een soort van een gradueel verschil in het zijn het een driehoekig ding en dan zitten er maar 
A: 	oké dit zijn die een met dat soort van tuitje aan de onderkant en dan hebben je aan de bovenkant hebben je die vierhoekjes met die stok eruit 
B: 	ja 
B: 	ja 
B: 	hebben die ook aan de onderkant een buigen veel 
A: 	ja en dan en dan voor de controle ook nog zo'n soort van handvatje beetje vooraan en dan ook nog één 
B: 	ja dan zijn dat bij mij nummer M denken ik 
A: 	maar dat dat tui aan de onderkant dan weten je wel welk ik bedoelen 
A: 	ja en het schoorsteent 
A: 	ja dat zijn nummer 
A: 	ja paddenstoeltje 
A: 	die vierkant die steeds groot worden 
A: 	twee daarvan aan de linkerkant en die vierkant die er 
A: 	oké 
A: 	dat tui en dan zitten er dat dat dat ruit zitten aan de bovenkant met die vierkant 
A: 	en dan aan de rechterkant oké dat zijn nummer negen 
B: 	ik hebben de basisvorm waarbij er soort van balkje naar voren lijken te komen en aan de rechterzijkant zitten dan een soort balkje met een hoek erin 
B: 	onderaan een veel hoekig of ja van vierkant vormen hoek en Bovenin zijn de ruitvormig die wedg een soort van 
B: 	ja ze lijken ingeplant in in in de basisvorm en aan beide zanten kant zijn er van die bolkig taps toelopen blok 
B: 	en er zijn twee ruitvormig hoekjes 
B: 	dus je hebben zeggen maar de basisvorm en dan bovenin van die ruitvormp 
B: 	twee van heel erg 
B: 	van gelijk formaat die zijn dan achter de basisvorm plaatsen 
B: 	twee daarvan die dus vrijwel naast elkaar 
B: 	ja 
B: 	ja 
B: 	ja 
A: 	bij mij zijn het het kop met het tui aan de onderkant en 
A: 	aan de bovenkant die vierkant die steeds groot worden die in de ruit zitten 
B: 	ja 
B: 	ja 
B: 	even denken 
B: 	ja 
B: 	zeggen maar het zijn één lijken een beetje op een ouderwets bonenmaler misschien of zo maar 
B: 	ja dat zijn h 
B: 	H bij mij ja 
B: 	precies 
A: 	dat 
A: 	dat tui met die vierhoek en die aan de bovenkant 
A: 	nummer elf 
B: 	bij mij zijn het degeen die ik eerder vergelijken hebben met een met een bonenmaler 
B: 	dus in principe bovenop zitten die twee ruitvormig object 
B: 	en dan aan weerszijde die balk die dan blok met taps toelopen begrijpen je wat ik bedoelen 
B: 	ja 
A: 	het kop met het tui aan de onderkant en het het ruit met de vierkant 
B: 	ja 
B: 	dat zijn nummer 
B: 	ja dat zijn nummer D 
B: 	of letter D 
A: 	ja 
A: 	nummer veertien 
B: 	ik hebben de de bonenmaalmachine met 
B: 	yes 
