B: 	ja ik zien hem 
B: 	k 
B: 	okeeen deze hebben twee twee gelijkwaardig langwerpig hoek rechthoe aan de rechterkant 
B: 	of hoe heten dat 
B: 	en een soort van pyramide bovenop maar dat kop eraf 
B: 	ja ja 
B: 	met die neus 
B: 	ja waar zitten die 
B: 	waar zitten die waar zitten die ah daar ja 
B: 	g 
A: 	hebben ik er weer één natuurlijk 
A: 	als ik die de één keer zien lijken het voor mij een beetje op een raket op een bepalen manier 
A: 	aan de rechterkant hebben hij twee rechthoekig uitsteeksel 
A: 	boven elkaar 
A: 	op de top hebben hij een een stompe driehoek dus denken ik dan een prisma 
A: 	en aan de linkerkant zijn er een uitstulpink 
A: 	en aan de linker onderkant ook , dat wel een beetje een ja een horen lijken of een kraantje ik 
A: 	ik weten niet 
A: 	precies ja 
B: 	ik hebben die die pyamide met topje eraf aan de bovenkant en dan die twee twin towers aan de rechterkant 
B: 	ja 
B: 	J 
B: 	ja met de neus 
B: 	de twin towers aan de rechterkant en de pyramide met het kop eraf aan de bovenkant 
B: 	en de neus link 
A: 	en bovenop een afgesneden driehoek 
A: 	ja nummer achten 
A: 	deze hebben twee rechthoekig uitsteeksel aan de rechterkant 
A: 	en aan de onderkant een soort haakje , aan de linkerkant zijn dat 
A: 	en in het midden aan de linkerkant zitten een , ja , zitten een uh , ja ovaal zijn het niet echt , een één , puntig aan beide kant en een beetje langwerpig vorm , en bovenop zijn er een afgestompt driehoek , dat zijn veel makkelijk , er zitten bovenop een afgestompt driehoek 
A: 	ja twee staaf rechts en een afgestompt driehoek bovenop 
A: 	ja 
A: 	ja ja 
A: 	ja 
A: 	moeten we een ander woord voor vinden 
A: 	en aan de onderkant ook een een soort handvat 
A: 	ja een poo 
A: 	ja 
A: 	en daar boven nog iets ja 
A: 	nummer een 
A: 	dit zijn een afgestompt driehoek bovenop 
A: 	ja 
A: 	de afgestompte driehoek ja 
A: 	nummer vier 
