B: 	ja ik weten welk je bedoelen 
B: 	J 
A: 	ik hebben één ook bijzonder hij hebben er staan een soort punt een soort 
A: 	hoorn staan erbovenop 
A: 	en dan hebben die link nog ja ik weten niet een heel gek dinge dat bijna het niet aanraken 
A: 	en rechts nog een figuur en eronder ook nog wat 
A: 	ja 
A: 	ja 
B: 	dat zijn echt een heel vag 
B: 	soort van soort van driehoek bovenop 
B: 	en een blok dat aan de voorkant eruit steken en een 
B: 	ja 
B: 	even opnieuw zoeken 
B: 	vierkant met de punt omhoog 
B: 	met die ding die ding eruit steken en dan 
B: 	die 
B: 	ja oké met een soort van piramide bovenop 
B: 	E 
A: 	ja 
A: 	ja dat zijn nummer zes 
B: 	dit zijn weer met met die dat driehoek die eruit steken die punt 
B: 	en één of ander raar blok aan de voorkant en 
B: 	ja 
A: 	dit zijn weer met die soort van punthoed en heel klein dinge dat heel klein beetje aanraken link 
B: 	ja met die raar blok 
B: 	G 
A: 	yes nummer tien 
B: 	de de punt die eruit steken met zo'n raar blok dat aan de voorkant uit komen 
B: 	en de twee ander dinget 
A: 	ja 
A: 	ik hebben één helemaal wachten gewoon punthoed klein dinge link dat bijna net niet aanraken 
A: 	ja ja 
A: 	nummer tien 
