B: 	deze hebben twee van die kasteelt aan de linkerkant erin en een vierkant aan de voorkant 
B: 	en nog een soort van paddenstoel aan de bovenkant 
A: 	van jou 
A: 	ja en dan twee 
A: 	ja 
A: 	hij lijken op oog 
A: 	nou dat kunnen ook 
B: 	oké 
A: 	twee 
B: 	wachten even even kijken 
B: 	twee ding ja die paddenstoel ja ja ja 
B: 	oké die torent aan de zijkant 
B: 	oké dat zijn G 
B: 	oké dit zijn diegene met die twee torent aan de zijkant en die paddenstoel erop 
B: 	oké 
B: 	ja 
B: 	ja met nog één ding ervoor toch 
B: 	ja oké ja dat zijn D 
A: 	ja vierkant oor zeggen maar en dan zo'n 
A: 	kogel of een champignon en dan twee oog 
A: 	ik weten niet veel hoe we die net hebben beschrijven 
A: 	het hebben zeggen maar wel zo'n vierkant ja blad zeggen maar 
A: 	ja 
A: 	ja 
B: 	ik hebben diegene met die paddenstoel en die twee torent erin en één plat ding aan de voorkant 
A: 	ja ja ja 
A: 	negen 
A: 	ja dat dat vierkant blad zeggen blaadje zeggen maar en dan die 
A: 	World Trade Center wat jij zeggen en dan zo'n mushroom 
A: 	op zijn kop 
B: 	ja even zoeken 
B: 	ja dat zijn B 
A: 	ja 
A: 	en dan dat ding naar boven 
A: 	één 
A: 	dat vierhoek vierkant en dan die twee oog 
