B: 	ja 
B: 	ja ik weten hem 
B: 	o 
B: 	okee bovenop zitten een het aan de rechterkant zitten die blok die steeds groot worden 
B: 	waar je het daarstraks over hebben 
B: 	en dan bovenop zitten dan zo'n langwerpig voorwerp en aan de 
B: 	ja wat rond worden en aan de voorkant ook 
B: 	ja ja 
A: 	oké deze zijn dus weer een emmer zullen ik maar zeggen 
A: 	vier uitstulping dus hebben langs vier kant uitsteeksel 
A: 	een ja hoe omschrijf ik dat een één pfoe een een een ovaal , zijn dat een ovaal ? zo'n ovaal stuk aan voortkomen eruit aan de bovenkant 
A: 	wat voor ons een beetje optisch links achter lijken lijken het een beetje een golven uitstulping 
A: 	links aan de voorkant zijn het een soortgelijk 
A: 	zelfde ovaal 
A: 	en aan rechts een beetje naar ons keren 
A: 	ja lijken het een steeds groot wordend vierkant dat er uitsteken 
A: 	oké 
B: 	ja 
B: 	ja ja c 
B: 	ik met die aan de rechterkant van die dos die steeds groot worden 
B: 	en dan bovenop zo zo'n ding dat steeds rond worden 
B: 	en aan de voorkant ook 
B: 	en aan de zijkant ook ja 
A: 	ja 
A: 	en en linksachter 
A: 	dus links schuin naar voor wijzen een ovaal en recht er omhoog 
A: 	en aan de rechterkant zijn dat die die groot worden 
A: 	vierkant , dat groot worden vierkant , oké 
A: 	nummer vijf 
B: 	ja ja 
B: 	d 
B: 	ik hebben dat doos aan de rechterkant die steeds groot worden en dan dat die twee 
B: 	daarbovenop zitten zo'n ding dat dat steeds rond worden aan de linkerkant ook 
A: 	deze hebben vier uitsteeksel , twee ovaalvormig , één ovaal zitten links en de ander ovaal zijn bovenop en die steken zeggen maar uit de emmer 
A: 	aan de rechter voorkant 
A: 	ja 
A: 	ja precies 
A: 	ja 
A: 	en aan de achterkant een soort 
A: 	ja 
A: 	nummer negen 
A: 	dit zijn die met vier uitsteeksel , twee ovaal , bovenop en link 
A: 	ja 
A: 	ja nummer twee 
