A: 	nou mogen ik weer iets uitleggen toch 
A: 	ok nou bij mij het zijn het zijn de enig met de recht paal naar boven een vierkant 
A: 	en er zitten twee poo aan die lijk op arm zullen je kunnen zeggen en op de mok zitten nog een bolle lijken op een hoofd 
A: 	ja echt alsof hij hij doen echt breed ja 
A: 	ja precies 
A: 	ja maar het zijn niet niet die met het platform 
A: 	ja ja dat eihoofd inderdaad nee jij zeggen je snapt sowieso welk ik bedoelen 
A: 	ja 
B: 	oké 
B: 	ja sommig zijn echt stom 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	twee van die 
B: 	ja ja oké ja 
B: 	dat zijn bij mij D 
A: 	o die een ja dat zijn die hebben we al hebben hè ? toch 
A: 	ja 
A: 	ok ok ok dus nee dat weten ik al ja ok vijftien 
B: 	oké 
B: 	deze zijn allemaal verplaatsen en volgens mij beginnen we weer opnieuw dus dat zijn een beetje 
B: 	dit zijn met dat ballet erbovenop 
B: 	en die twee gek grijparmp 
B: 	en dan die staaf ervoor 
A: 	die een die breed of ja weten je wel die zo doen 
A: 	ja 
A: 	ja en die van de balk ja het zijn ook pure fantasie 
B: 	ja met het bolle erop 
B: 	oké dat zijn L 
A: 	die 
A: 	jajaja ja ja o zes 
B: 	oké nu hebben ik die met die armp en dat balle erop 
A: 	ja die dit die kerel weten je wel ja die kerel 
A: 	ok drie 
B: 	ja 
B: 	dat zijn J 
B: 	ik hebben die met die armp 
B: 	die staan bij mij aan de rechterkant 
