B: 	hier hebben je soort van een ja tafel rechthoek vierkant ding dwars onder de emmer 
B: 	het lijken een beetje alsof er tafelpot aan zitten 
B: 	en daarop staan een soort van Trechterachtig hoekig trechterachtig dinget 
B: 	en daarachter komen een tui uit uit de emmer 
B: 	even kijken ja je hebben je emmer 
B: 	en daar zitten een soort vierkant doorheen 
B: 	en daar komen twee poo uit 
B: 	of twee 
B: 	ja uit het vierkant 
B: 	dat door de emmer heen is de dat zijn ongeveer op drievirie hoogte gaan er een soort van een vierkant door de emmer heen 
A: 	lijken net of die aan een tafel zitten 
A: 	met een 
A: 	ja dat zijn nummer tien 
B: 	ja 
B: 	f 
A: 	deze hebben dat tafel die zo heel doorgezakt en dan met de tafel erbij en zo'n ja een één kom waar je kunnen uit eten bijvoorbeeld met zo'n klein dinge eraan 
A: 	ja heel klein 
B: 	deze hebben het tafel wat door de emmer heen zijn met de twee poo 
B: 	en 
B: 	drievirie hoogte gaan hij dwars door de emmer heen 
B: 	ja 
A: 	ah ja 
A: 	ja en dat dat klein 
A: 	dat zijn nummer een 
B: 	ja dat zijn 
B: 	where did it Go 
B: 	ja h 
B: 	de tafel 
A: 	dit zijn die een die heel erg doorgezakt zijn met de tafel en een een komme 
A: 	lijken op een chinees tafel eigenlijk 
A: 	of Japans 
A: 	dat zijn nummer 
A: 	met de 
A: 	ja dat zijn nummer drie 
B: 	d 
A: 	dit zijn met die doorgezakken zijn en soort van aan een tafel zitten 
A: 	met komme 
A: 	en een staart achter 
