A: 	deze hebben twee dezelfde rechthoe aan de rechterkant zitten die eruit steken 
A: 	en er zitten dus maar een lampenkap bovenop het kop 
A: 	en nog een twee ding aan de de de linkerkant een stok en een poo 
B: 	ja 
B: 	ja ik denken dat ik wel weten welk je bedoelen 
B: 	ja ja 
B: 	ik gaan voor p 
A: 	ja zo'n lampenkapding 
A: 	ja 
A: 	en dan links nog twee 
A: 	ja 
A: 	okee dat zijn nummer twaalf 
A: 	deze hebben twee rechthoek aan de zijkant identiek boven elkaar en een lampenkap erbovenopen nog twee uitsteeksel aan de linkerkant een poo en een stok 
A: 	zoiets 
A: 	yes nummer zes 
B: 	nou deze die zoals jij hem omschrijven hebben hij bovenop hebben hij een soort driehoekje die afkapten zijn 
B: 	aan de zijkant rechts twee la 
B: 	en aan de ander kant een een haak naar links toe en weten ik veel twee armp een armpje 
B: 	ik weten het niet 
B: 	ja 
A: 	deze hebben twee van die rechthoekstok boven elkaar aan de rechterkant met de lampenkap bovenop 
B: 	ja 
B: 	ja 
B: 	gaan ik voor g 
A: 	yes dat zijn elf 
B: 	dan de driehoek die afkapten zijn aan de bovenkant 
B: 	aan de zijkant twee la 
B: 	en haakvormig uitstekel onderaan 
B: 	ja 
B: 	dat zijn e 
B: 	afgekapte pyramide 
B: 	met la aan de aan de de rechterkant twee 
B: 	haakvormig dinge aan de linkerkant 
