A: 	okee nu zijn ik weer nummer nee dat hebben geen zin 
A: 	er zijn een balk aan de voorkant 
A: 	die zien je echt helemaal zeggen maar daarachter zitten het komme en daarbovenin zitten één zitten een soort eivormig ballet 
B: 	ah oké 
B: 	dus het zijn een kop met de staaf erdoorheen door het midden 
A: 	maar die zien je niet helemaal 
B: 	en een rond op de bovenkant en een staaf aan de voorkant 
A: 	ja 
B: 	dan zijn het B 
A: 	en rechts aan het komme en dan zitten er een soort van twee handva die lopen zo eigenlijk door 
A: 	okee 
A: 	okee 
A: 	ja 
A: 	ja heel goed negen zijn dat 
B: 	het zijn veranderen 
B: 	oké 
B: 	nou dan hebben we nog vijf te gaan 
B: 	een kop met een ei erbovenop en een pilaar aan gezichtszijde 
B: 	en met een buis door het midden heen 
A: 	deze hebben die balk aan de voorkant en dat ei op het komme dat je niet helemaal zien 
A: 	en die fietshandvatt noemen je dat net 
A: 	ja vijfteen 
A: 	dit zijn met de balk aan de voorkant en dat ei en de fiets 
A: 	nummer vier 
B: 	ja 
B: 	dat zijn L 
B: 	een kop met een ei op de bovenkant en twee pinn doorboren hem in het midden 
B: 	ja dat zijn L 
B: 	de bak met het ei er bovenop en doorboren door een pilaar paal 
B: 	die leunt op een pilaar aan de voorkant 
