A: 	deze hebben twee identiek poot zeggen maar er zitten er één onder en één aan de rechterkant 
A: 	en daar bovenop staan een ruitding met twee van die van die sterrenkijker aan de zijkant 
A: 	en er steken nog een stok uit aan de voorkant 
A: 	ja 
A: 	ja ja kloppen 
B: 	alright 
B: 	ja 
B: 	ja ja 
B: 	en hij hebben ook een soort van neus toch 
B: 	soort van 
B: 	ja 
B: 	ja dan denken ik dat ik hem ook wel weten ik gaan voor k 
A: 	ja waar twee van die sterrenkijker uitkomen 
A: 	ja dat zijn een 
A: 	dit zijn die met die twee poo één onder en één rechts en bovenop zijn die ruit met die twee sterrenkijker erin 
A: 	ja 
B: 	okee dit zijn een kop waarbij je bovenop een twee van die legoblokantennet hebben 
B: 	met een een vierkan wat er in het kop staan 
B: 	een soort pinokkio-neus 
B: 	een haak naar onder uitsteken 
B: 	en aan de ander kant hebben je ook een uitstekend haak aan de rechterkant zijn dat 
B: 	ja 
B: 	met lego dinget ja 
A: 	yes met die sterrenkijiker 
A: 	ja tien 
A: 	dit zijn met die twee haak onder en rechts en die plat vierkanut bovenop 
A: 	ja dat zijn acht 
B: 	ja 
B: 	dat zijn k 
B: 	ja 
B: 	ruitvorm met legoblok aan de bovenkant 
B: 	pinokkio-neus 
B: 	ja 
B: 	dat zijn voor mij j 
B: 	ruitvorm met legoblok erdoorheen 
