B: 	ah ja ik vinden dit echt een beetje een ding met een neus op de één of ander manier 
B: 	ja weten ik niet 
B: 	niet met de piercing zeggen maar gewoon die ander 
B: 	twee ding erbovenuit en zo'n driehoekig ding dat eruit komen 
B: 	ja 
A: 	oké wachten nog een keer 
A: 	helemaal aan de voorkant echt 
A: 	ja 
A: 	oké en dan hebben die bovenin nog twee twee dinget 
A: 	ja ook zo'n zo'n driehoekje oké dat zijn bij mij nummer veertien 
B: 	en dat driehoekje aan de linkerkant 
B: 	oké 
B: 	N 
A: 	die een met die die lijken op die inboorling maar dan zonder de neusring en dan nog allemaal die tierelantijnt 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer negen 
B: 	dit zijn degeen met de neus zonder de piercing 
B: 	met de met die kegel ding bovenop 
A: 	die met die een neus zonder de ring 
A: 	met de neus 
A: 	nummer vijf 
B: 	G 
B: 	de neus zonder piercing 
A: 	die met die een en een gewoon neus 
B: 	J 
