A: 	ja ja een soort spijkerding of zo 
A: 	ja 
A: 	dat zijn bij mij twee 
B: 	deze hebben aan de linkerkant twee van die kubus die steeds groot worden 
B: 	en aan de voorkant een vierkant schijf of ja geen schijf dan maar 
B: 	en aan de bovenkant een soort 
B: 	ja 
B: 	ja vinden ik een goed omschrijving 
A: 	deze hebben een soort paddenstoel bovenop 
A: 	en die plaat zeggen maar aan de een vierkant aan de voorkant een plat 
A: 	ja dat zijn bij mij negen 
B: 	ja 
B: 	dat zijn bij mij G 
B: 	deze zijn met de paddenstoel bovenop 
B: 	en de twee vierkant ding aan de linkerkant 
A: 	deze hebben het paddenstoel bovenop en dan die plaat aan de voorkant 
A: 	dat vierkant 
A: 	met de paddenstoel waar zitten die 
A: 	dat zijn nummer één 
B: 	ja 
B: 	dat zijn bij mij D 
A: 	die met de paddenstoel 
B: 	dit zijn met die uitdijen kubus aan de linkerkant twee keer en de paddenstoel bovenop 
B: 	ja 
B: 	dat zijn bij mij B 
