A: 	er zitten een piramideachtig bovenop 
A: 	en aan de voorkant zitten rechtsvoor zitten een best wel dik Neusachtig iets 
A: 	ja 
A: 	en 
B: 	zo'n plat rond 
B: 	ja 
B: 	dat zijn bij mij j 
A: 	ja 
A: 	en nog een klein dinge 
A: 	aan de 
A: 	aan de 
A: 	ja 
A: 	dertien 
B: 	deze hebben een driehoek bovenop en link een spiesdinge en linksonder een plat schijf 
B: 	en links een spiesdinge 
B: 	en linksonder een plat schijf 
B: 	ja vierkant rechthoek ding 
B: 	ja rechts ja ja 
B: 	ja met een punt ja 
A: 	voorin een of bovenop een piramide 
A: 	voorin een groot blok wat als neus uit zien 
A: 	ja 
A: 	en een rond onder 
A: 	ja 
B: 	ja dat zijn p 
A: 	ja 
A: 	een 
B: 	de driehoek puntig driehoek bovenop en links een spie 
B: 	ja 
B: 	ja dat zijn e 
A: 	een driehoek bovenop 
A: 	en een aan de zijkant een dun dinge aan de onderkant , of aan de linker zijkant zo'n dun dinge en aan de onderkant een half rond 
A: 	en aan de rechter zijkant een dikok vierkantachtig iets 
A: 	bovenop zitten de driehoek 
A: 	ja 
A: 	ja ja 
A: 	ja 
B: 	de driehoek puntig driehoek bovenop en de ministerrenkijker 
A: 	ja 
A: 	achten 
