A: 	een schijf achter het kop 
B: 	ik hebben het rood 
B: 	ik vinden het wel een beetje lijken op een cocktail 
B: 	met een schijf citroen misschien een ja 
B: 	en dan zitten er een soort lepeltje boven 
A: 	ok wat voor figuur hebben je er allemaal in 
B: 	en er zitten eigenlijk aan de zijkant dan een 
B: 	een handvat 
A: 	als in zien je een vierkan of een rond 
B: 	ja 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	ok en dan aan de onderkant zitten een soort van 
A: 	een beetje rondig 
A: 	ok nou moeten ik het nummer zeggen toch 
A: 	dertien ? en dan de geel knop 
A: 	ok deze hebben een ballonnetje er in en zo'n een rond schijf maar die zitten er maar voor de helft die zijn maar voor de helft zichtbaar ja die een ja 
A: 	ja en dat blok onderin wat niet echt een blok zijn 
B: 	ja 
B: 	dat zijn O 
A: 	nou zijn het weer anders 
A: 	dat blok achten 
B: 	dit zijn weer die soort cocktail zeggen maar 
B: 	met dat kannet eronder 
B: 	op dat 
B: 	volgens mij zijn het weer een nieuw ronde trouwens 
B: 	nou ja dus zeggen maar dan hebben je zo zitten stijgen er zo'n soort lepel uit en dan aan de zijkant zijn er aan de een kant zo'n ding 
B: 	ja zo'n soort balk en dan dan zijn er zo'n rond ja ananasschijfje citroenschijfje of zo 
B: 	ja 
B: 	ja 
B: 	ja 
A: 	ballonne er bovenin en dan dat half schijf en daar onderin dat blok en een rond wat er uit steken zo'n lang 
A: 	ja 
A: 	ballonne er uit 
A: 	nog een keer 
A: 	gewoon het gek blok aan de onderkant 
A: 	zeven 
B: 	cocktail waar zijn je 
B: 	ja 
B: 	ah C 
B: 	van cocktail 
B: 	de cocktail 
A: 	die met dat gek blok aan de onderkant Ballonnetje er in half cirkel en dat dinge wat er uit steken 
A: 	Jeuj 
B: 	de cocktail C 
B: 	ja 
