B: 	met ook zo'n soort van uitlaa aan de onderkant of 
B: 	ja dan hebben ik hem dat zijn I 
B: 	ik moeten altijd even kijken of het een I of een L zijn 
B: 	maar het zijn een I 
A: 	ik vinden dit het kippe eigenlijk aan de rechts kant hebben die twee staaf en dat zullen een beetje een snavel kunnen zijn 
A: 	en dan hebben die aan de zijkant aan de linkerkant hebben die een soort van staafje naar achteren wat een soort van vleugel zullen kunnen zijn 
A: 	en aan de onderkant aan de links kant hebben die een soort van dinge wat naar achteren eruit gaan zo 
A: 	en aan de bovenkant hebben het zo'n soort vorm erbovenop zitten 
A: 	snapen je wat ik daarmee bedoelen 
A: 	ja die eruit komen twee vierkant staaf 
A: 	zullen dat een soort van snavel kunnen zijn als je dat je inbeelden 
A: 	ja zullen kunnen ja en dan hebben die aan de zijkant hebben die nog zo'n ja aan de ander kant zeggen maar zijn zo'n vleugel wat eruit steken 
A: 	soort van puntdinge en dan 
A: 	ja 
A: 	en aan de onderkant zo'n dinge ja 
B: 	het zijn een beetje een het wat jij een stekkerding stopcontact of iets vinden 
B: 	nou dat zijn hem 
B: 	ik weten welk je bedoelen even loeren ja M 
A: 	ja de kip 
A: 	ja met die snavel 
A: 	ja dat zijn bij mij twee 
A: 	dit zijn de kip 
A: 	met de snavel zeggen maar 
A: 	aan de rechts kant 
A: 	met die vleugel 
A: 	ja 
B: 	stekker 
B: 	oké 
B: 	ja vinden F 
A: 	waar staan die 
A: 	nummer negen 
A: 	de kip 
B: 	het zijn een stekker 
A: 	die zitten bij mij rechts onderin 
A: 	ja nummer zes 
