A: 	oké dus je hebben dat kommet 
A: 	bovenop liggen dus weer dat rond bolle 
A: 	en 
A: 	net als wat dat neusje wat je daarnet hebben 
A: 	zeggen maar zo'n bolle 
A: 	die liggen erbovenop en dan daarvoor staan een een een balk 
A: 	en aan de zijkant van het komme zitten zeggen maar twee armpjes die beetje rondlopen 
B: 	ja ik noemen een ander arm denken ik 
B: 	even kijken hebben die hebben die een gek balk boven voor zich 
B: 	ja 
B: 	oké dat zijn bij mij D 
B: 	oké d zeven 
B: 	deze hebben we al hebben 
B: 	dit zijn armp 
B: 	jou armpjes met balk aan de voorkant 
B: 	K 
A: 	ja ik zoeken hem even 
A: 	ja 
A: 	yes 
A: 	nummer vijftien 
B: 	ja 
B: 	ik moeten even zoeken 
B: 	L twee 
A: 	dit zijn die een waar dat bolle bovenop liggen en dat rechthoekig staafje ervoor staan en dan twee ronde dinget aan de zijkant twee armp 
B: 	jou armpjes 
B: 	M 
B: 	Mico 
B: 	Mico 
B: 	nieuw naam 
B: 	Mico 
B: 	M 
A: 	ja 
A: 	nummer zes 
B: 	ja 
B: 	J 
B: 	J vijftien 
B: 	jou armpjes 
B: 	A 
A: 	dit zijn die een waar dat bolle op liggen en dan met die rechthoekig staaf ervoor en die twee armp 
A: 	ja 
A: 	nummer drie 
