A: 	ja 
A: 	en een rond link linksbof aan de achterkant een beetje 
A: 	dus en de de staaf zeggen maar aan de linkerkant die zijn niet helemaal rond zeggen maar die zijn dat zijn 
A: 	ja oké 
A: 	ja een soort Badkuipvormachtig 
A: 	ja oké dan dertien 
B: 	ja ik hebben een een vierkan 
B: 	hoe gaan ik hem uitleggen 
B: 	het zijn in ieder geval een beetje Pinokkiostyle 
B: 	zo'n een emmer met een cilinder 
B: 	en dan daarboven nog een soort omgekeerd kegelt 
B: 	een omgekeerd kegelt 
B: 	en aan de achterkant zitten nog een cirkel 
B: 	niet een 3Dcirkel zeggen maar gewoon een cirkelvormig dinge 
B: 	ja 
B: 	ja hij staan op een soort plateautje een dun smal plateaut 
B: 	aan de nou nee aan niet echt iets dat aan de zijkant uitsteken veel omhoog alsof die een soort van sprie op zijn hoofd hebben 
B: 	ja 
B: 	oké ik doen het nog een ik zullen het nog een keer zeggen een emmer 
B: 	en aan de linkerkant steken er een soort cilinder uit 
B: 	als een soort neus 
B: 	ja 
B: 	oké 
B: 	ja een cirkel aan de achterkant 
B: 	ja dan moeten jij drukken 
A: 	ja de soort volgens mij noemen jij het de theepot met aan de achterkant een half rond met een met een lepeltje er nog eruit of zo 
A: 	ja 
A: 	precies 
A: 	ja 
B: 	ja 
B: 	en er zitten een kegel boven op het hoofd 
B: 	zo'n omgekeerd knuppelt 
B: 	dan zijn het O 
A: 	en weer opnieuw 
A: 	ja ja ja ja 
A: 	rond achterop plakken stengel bovenuit 
A: 	ja 
A: 	die blijven we gewoon theekopje houden 
A: 	achten 
B: 	dit zijn de Pinokkio die op een soort klein smal standaard staan met aan de achterkant een cirkel en 
B: 	achter op zijn hoofd een soort pluk 
A: 	het theekopje met dat ja gewoon het normaal theekop 
A: 	dus niet die met die driehoeken eronder maar 
A: 	ja precies 
B: 	pinokkio cirkel achterop 
B: 	dat zijn C 
A: 	het normaal theekop 
A: 	even kijken ik zitten naar de indiaan te 
A: 	ah ja 
A: 	de indiaan en dat theekopje lijken best wel beetje veel op elkaar dus af en toe 
A: 	ja kloppen 
A: 	ja alleen die hebben een ander neus die hebben hem de ander kant op 
A: 	zo zien ik het soms af en toe 
A: 	maar ja ik ik hebben nu weer de goed dus 
A: 	ja oké maar oké zeven 
B: 	dit zijn de Pinokkio met het sprie en aan de achterkant een cirkel 
A: 	het theekop 
A: 	gewoon het normaal theekop 
A: 	ja precies 
B: 	pinokkio hebben we ook nog 
B: 	pinokkio met kuifje en een cirkelt 
B: 	dat zijn C 
A: 	oké 
A: 	moeten we nu dan stil zijn tussendoor 
A: 	precies 
A: 	Hallo 
B: 	dat zijn hem 
B: 	nu 
B: 	droom over die vorm denken ik zien je het al voor je 
B: 	ja 
B: 	ja 
