B: 	o 
A: 	oké mijne hebben ja dat ei aan de voorkant en daar zitten dan die 
B: 	ik denken dat ik weten welk je bedoelen dat zijn bij mij F 
B: 	dan moeten ik op de geel drukk 
A: 	staaf doorheen en al op die staaf zitten een rond 
A: 	de ei met de staaf erdoorheen en aan de op die einde van die staaf weer dat rond 
A: 	dat zijn vijf 
B: 	dit zijn de een met de neuspiercing 
B: 	ok bij mij D 
B: 	o of o 
B: 	ja 
B: 	oepsie o wat dom 
A: 	ja dit zijn weer die dat ei met die staaf erdoorheen en op dat uitein van die staaf 
A: 	wachten even kijken waar staan die 
A: 	ja en op het uitein 
A: 	yes 
A: 	dat zijn vijf 
B: 	even kijken o daar A 
B: 	ik weten niet welk ok ja 
B: 	maken niet uit 
B: 	o dit zijn de neuspiercing 
B: 	ok 
A: 	ja dit zijn dat ei met die staaf erdoorheen en dan 
A: 	ja 
B: 	even kijken waar die o daar H 
B: 	ja je drukken automatisch 
A: 	de bal bal met de 
A: 	die bal met die staaf en dat rond aan de zijkant 
A: 	ja vijftien 
B: 	dit zijn de neuspiercing 
B: 	ok bij mij I 
