A: 	nou dat duren even 
A: 	ja 
A: 	nee 
A: 	dit zijn het komme en daarbovenop zitten die koffiefiltervorm dus een soort bakje omgekeerd en daarnaast zitten twee blok die even groot zijn rechts zitten die 
A: 	ja een draaiinkje en en dan nog soort wijz van een klok naar links ook 
B: 	ja 
B: 	ja ja ja ja 
B: 	ja en hij hebben een soort hoedje op 
B: 	zijn nummer of letter A 
A: 	ja 
A: 	die even groot zijn 
A: 	achten 
A: 	ik hebben nu diegene met die omgekeerd koffiefilter en die twee aan de rechterkant gelijkwaardig 
B: 	een bak met een hoed en aan de rechterkant twee gelijk uitsteeksel 
B: 	en aan de linkerkant twee ook twee uitsteeksel maar die zijn totaal anders 
A: 	twee balk aan de 
A: 	ja vijf 
A: 	dit zijn met het koffiefilter en de twee balk die even groot zijn aan de rechterkant 
B: 	aan de rechterkant zitten die twee gelijk 
B: 	A 
A: 	een veertien 
B: 	bak met twee gelijk uitstulping aan de rechterkant 
B: 	en bovenop een 
B: 	soort hoedje ja 
B: 	P 
B: 	bak met twee gelijk uitstulping aan de rechterkant en een hoed op 
