B: 	oké 
B: 	oké 
A: 	nou deze vinden ik ja aan de onderkant zitten zo'n buigen iets een uitsteeksel dat zijn negentig graad buigen 
B: 	ja 
B: 	ja 
A: 	en Bovenin zitten een platvorm en daar zitten ook iets doorheen steken 
B: 	ja 
B: 	zijn die met dat ruit 
A: 	neus ja jaja dat zijn wat ik willen zeggen 
B: 	ja 
B: 	ja 
A: 	nog een uitsteeksel 
B: 	oké dan zijn dat M 
A: 	ja precies 
A: 	ja ja 
B: 	dat kunnen niet missen 
B: 	denken ik 
A: 	dan onderkant 
A: 	of wat 
A: 	even kijken 
A: 	ja ja negen 
B: 	oké dit zijn die raar met dat poo eronder en dat soort van die twee ruit zo erin 
B: 	dus die twee ruit en dan met zo'n ja ik vinden het zo'n gewichthefding zeggen maar wat erdoorheen zitten 
B: 	nee 
B: 	ja beetje wel 
B: 	ja maar ja die met die ruit zeggen maar en dan dat dat gewichthefding erdoorheen 
B: 	ja ik vinden dat een beetje zo'n 
B: 	zo'n dumbbell of zo 
A: 	die één met die negentig graad hoek aan de onderkant en met die ? vorm boek of zo en dan zitten een iets doorheen 
A: 	ja precies 
B: 	ze zijn weer 
B: 	ja 
B: 	ja 
B: 	met met dat gewichtding er 
B: 	oké 
B: 	dat zijn H 
A: 	ja met dat boek en ja ok 
A: 	elf 
B: 	yes 
B: 	ja 
B: 	deze zijn met die twee ruit als hoed zeggen maar met dat gewicht erdoor 
A: 	met dat boek met dat ding er doorheen 
A: 	bij mij zijn hij linksonder 
A: 	ok 
A: 	ja veertien 
B: 	ja 
B: 	ja die staan bij mij links onderin dat zijn D 
B: 	met die ruit en dat gewicht 
