A: 	ja 
A: 	oké 
A: 	ja ik weten welk het zijn dat zijn zestien 
B: 	oké bij mij ik vinden hem een beetje op een machinegeweer zeggen maar 
B: 	je moeten een AK47 in je hoofd nemen en dan ja je je zien echt zo'n handvat en een 
B: 	en een magazijn maar misschien hebben ik te veel Battlefield spelen dat kunnen ook 
B: 	oké 
B: 	ja zeggen maar al al voorwerp zitten aan de bovenste kant van het heel dinge 
B: 	en helemaal bovenaan linksbof in de hoek van dat dinget zien je heel klein zo omhooggaan 
B: 	ja maar dan in dan zien je maar twee poet 
B: 	ja 
B: 	ja 
A: 	oké dit zijn de diep wasbakding met dat vierkan zo aan de voorkant 
B: 	P 
A: 	even zoeken 
A: 	zijn die er 
A: 	waar zijn die 
A: 	diep door de tafel heen 
A: 	ja ik hebben hem vinden 
A: 	dat zijn veertien 
A: 	dit zijn de diep sink of die dat met het geweer 
B: 	ik hebben die weer met die met die AK 
A: 	ja maar waar staan die 
A: 	tien 
B: 	ja 
B: 	N 
A: 	dit zijn die diep gootsteen 
A: 	of de of het geweer 
B: 	die AK 
B: 	de AK47 
B: 	ja 
B: 	D 
