B: 	waar die tegenaan leunen zijn link 
B: 	wat zijn leunen 
B: 	want 
B: 	ja 
B: 	dus hij staan scheef 
B: 	ik moeten het wel goed hebben hoor 
B: 	nou ik weten ik niet of ik het goed hebben 
B: 	zijn wat hij leunen zijn dat plat of zijn dat 
B: 	gewoon een vierkant 
B: 	met twee uitstulping , toren zoals jij dat zullen noemen , aan de linkerkant 
B: 	en Antenne op de bovenkant 
B: 	of niet 
B: 	ja 
B: 	ja of sommig hebben we al hebben ook hè , misschien dat ik dan de verkeerd hebben noemen eerder 
B: 	aan de linkerkant horen een pilaar te zitten zeggen je , maar die moeten ook aan de rechts rechterkant weer uitsteken 
A: 	okee 
A: 	dit zijn een kop 
B: 	ja 
A: 	met een ja soort cilinder 
A: 	zitten er een beetje doorheen Geboord 
A: 	met aan uitein een extra dopje of kno of wat dan ook 
B: 	en daar zijn dan nog die bak 
A: 	en aan de rechterkant steken die veel uit dan aan de linkerkant 
B: 	oké nou zullen wel duidelijk moeten zijn toch 
A: 	en beetje link schuin achter zitten nog één of ander plateaut 
A: 	ja precies ja zo kunnen 
B: 	dat denken ik dan dat het zijn er ook twee uitstulping aan de beide kant 
A: 	ja precies die ja 
B: 	oké 
A: 	okee 
B: 	dan zijn het P 
B: 	dit zijn een kop met aan beide kant een uitstulping met een rond aan het eind van zijn uitstulping 
B: 	en hij leunt op een plaat met een stok 
B: 	ja dat zijn die ja 
A: 	ah ja ik weten hem 
A: 	ja 
A: 	nummer drie 
B: 	ja 
B: 	ja 
B: 	die leunlen , die leunlen , die leunlen 
B: 	met het ei op de bovenkant 
B: 	ha 
B: 	dat zijn nog niet makkelijk op worden 
B: 	ja 
B: 	met die twee 
B: 	vleugel 
B: 	F 
A: 	nou dit zijn de kop met het zonnepaneel beetje linksachter en de cilinderstaaf die erdoorheen zijn douwen met twee dop 
B: 	oké 
B: 	bak met aan beide kant dus die een met aan beide kant zo'n pilaar die uitsteken 
B: 	en hier hebben we heel lang moeilijk over doen ook 
B: 	en die leunlen 
B: 	welk wat 
B: 	ja ja ja ja ja 
B: 	ja 
A: 	waar zijn ons zonnepaneel 
B: 	met die twee dinget zo 
B: 	M 
A: 	moeten hem echt zoeken 
A: 	ja dat zijn nummer een 
B: 	het moeilijk kop met het beide paal zo aan de beide zij 
A: 	deze zijn met ons zonnepaneel 
A: 	aan ja erdoorheen dan die cilindervorm 
A: 	ja 
A: 	ja nummer drie 
