B: 	oké even kijken ik noemen hem pinokkio 
B: 	hij hebben een een neus naar link 
B: 	nee nee nee 
B: 	nee 
B: 	nee 
B: 	hij hebben een een neus naar links en hij staan op een voe en hij hebben één haar en een half cirkel aan de linkerkant 
A: 	oké en het voetstuk zijn een beetje langwerpig en het staan ongeveer deze hoek 
B: 	aan de achterkant eigenlijk 
B: 	en even kijken en de neus zijn een zeshoek 
A: 	ja ja spiegelen dan 
A: 	oké en dat rood cirkeltje zitten een beetje aan de achterkant 
A: 	dat je het half zien 
B: 	bij mij heten die G 
A: 	rond ja Sorry 
A: 	oké 
A: 	dan 
A: 	ja dertien 
B: 	dit zijn met zeshoek link 
B: 	O en bij jou 
B: 	O vier 
A: 	dit zijn ja dat panne weer zeggen maar dus je hebben dat komme en dan in het midden één kant zitten zo'n staafje en dan bovenop lijken het alsof het er zo'n lepel in zitten en dan met dat rond aan de achterkant 
A: 	op zo'n ja op een klein blok 
A: 	ja 
B: 	we zijn weer wisselen 
B: 	dit zijn pinokkio voor mij 
B: 	met zo'n pluimp hoe heten hoe heten die ook alweer bij jou ? hebben een pluimp zo op zijn achterhoofd zeshoekig neus 
B: 	N 
B: 	Nico 
A: 	met die paardenstaart 
A: 	ja 
A: 	ja 
A: 	met het cirkel en het 
A: 	yes 
A: 	nummer achten 
B: 	even kijken 
B: 	moeten ik even de goed pak ja 
B: 	ja even zoeken daar 
B: 	C 
B: 	C veertien 
A: 	dit zijn zeggen maar het panne op een voetstuk 
A: 	met dat cirkel daarachter 
A: 	en dan dat dinge erin en dat ding aan de stok aan de zijkant 
B: 	voor mij pinokkio dus zeshoekig neus 
B: 	met die 
B: 	N trouwens 
B: 	ja 
A: 	ja 
A: 	nummer zeven 
B: 	even kijken 
B: 	zeven hè ? C zeven 
A: 	dit zijn zeggen maar dat ja wat ik zeggen panne 
A: 	hij staan op dat klein voetstuk 
A: 	en er zitten een armpje aan de zijkant en het rond erachter 
A: 	en het lepel daarin 
A: 	en dan zijn we klaar 
