A: 	ja ik weten welk je bedoelen 
A: 	ja 
A: 	nummer zes 
B: 	ja ik zien het een beetje als een soort van ballerina het hebben zeggen maar het zijn een pot met een vierkant plaat om zich heen 
B: 	ja zo'n tutuu 
B: 	ja 
B: 	oké 
A: 	ja dit zijn die een met die lang neus zo en dat dinget zo eromheen 
A: 	en dan dat armp 
A: 	ja 
A: 	nummer dertien 
A: 	dit zijn dat poppe met die langwerpig neus en dat armpje zo omhoog met dat dinge eromheen 
B: 	ja 
B: 	dat zijn C 
B: 	dit zijn weer dat poppe met het tutuu 
A: 	ja 
A: 	nummer negen 
A: 	het poppe met die lang neus en dat armpje zo omhoog en die twee spriet bovenop 
B: 	oké 
B: 	dat zijn J 
B: 	dit zijn weer met het tutuu 
B: 	ja 
B: 	dat zijn N 
