A: 	oké deze hebben bovenop een soort nou ja laten we het een omgekeerd bloempot noemen 
A: 	en aan de rechterkant twee la of plank zeggen maar 
A: 	even lang even groot zijn ze 
B: 	ja 
B: 	ja 
B: 	dat zijn bij mij I 
A: 	ja dat zijn bij mij twee 
A: 	deze hebben weer die twee plank aan de rechterkant die hetzelfde zijn 
A: 	weten je dan genoeg 
A: 	met dat hoed bovenop ja 
B: 	deze hebben twee rechthoekje aan de rechterkant en bovenop een afgehakte piramide 
B: 	en links een staafje met twee punt en linksonder nog een soort buis die uitsteken 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	dat zijn bij mij M 
A: 	met die twee streepjes naar rechts ja dat zijn bij mij negen 
A: 	dit zijn die met die twee plank aan de rechterkant 
A: 	die met die streepjes naar rechts en dat ding erbovenop dat zijn nummer zes 
B: 	dit zijn met die afgekapte piramide aan de bovenkant 
B: 	rechts twee rechthoeak en links het streepje met pijltje 
B: 	ja 
B: 	dat zijn bij mij F 
B: 	dit zijn met die afgekapte driehoek en die twee rechthoe aan de rechterkant 
